sample,fastq_1,fastq_2,strandedness,condition,RNA_type,library_kit,removal,WBC_depletion,kit
104974-001-001_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-001_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-001_S1_L001_R2_001.fastq.gz,auto,mRNA_qiagen_FSglob_nofilter,mRNA,qiagen,Fsglob,nofilter,mRNA_qiagen_FSglob
104974-001-002_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-002_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-002_S1_L001_R2_001.fastq.gz,auto,mRNA_qiagen_FSglob_centpip,mRNA,qiagen,Fsglob,centpip,mRNA_qiagen_FSglob
104974-001-003_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-003_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-003_S1_L001_R2_001.fastq.gz,auto,mRNA_qiagen_FSglob_plasmo,mRNA,qiagen,Fsglob,plasmo,mRNA_qiagen_FSglob
104974-001-004_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-004_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-004_S1_L001_R2_001.fastq.gz,auto,mRNA_qiagen_FSglob_pmacs,mRNA,qiagen,Fsglob,pmacs,mRNA_qiagen_FSglob
104974-001-005_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-005_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-005_S1_L001_R2_001.fastq.gz,auto,mRNA_qiagen_FSglob_cellulose,mRNA,qiagen,Fsglob,cellulose,mRNA_qiagen_FSglob
104974-001-006_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-006_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-006_S1_L001_R2_001.fastq.gz,auto,mRNA_qiagen_FSglobH_nofilter,mRNA,qiagen,FsglobH,nofilter,mRNA_qiagen_FSglobH
104974-001-007_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-007_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-007_S1_L001_R2_001.fastq.gz,auto,tRNA_qiagen_FSglobH_nofilter,tRNA,qiagen,FsglobH,nofilter,tRNA_qiagen_FSglobH
104974-001-008_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-008_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-008_S1_L001_R2_001.fastq.gz,auto,tRNA_qiagen_FSglobH_centpip,tRNA,qiagen,FsglobH,centpip,tRNA_qiagen_FSglobH
104974-001-009_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-009_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-009_S1_L001_R2_001.fastq.gz,auto,tRNA_qiagen_FSglobH_plasmo,tRNA,qiagen,FsglobH,plasmo,tRNA_qiagen_FSglobH
104974-001-010_S1_L001,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-010_S1_L001_R1_001.fastq.gz,/scratch/antwerpen/203/vsc20380/wbc_depletion/data/fastq/104974-001-010_S1_L001_R2_001.fastq.gz,auto,tRNA_qiagen_FSglobH_pmacs,tRNA,qiagen,FsglobH,pmacs,tRNA_qiagen_FSglobH
