Sample	Reads passing filters
104974-001-001_S1_L001_1	62706972.0
104974-001-001_S1_L001_2	62706972.0
104974-001-002_S1_L001_1	64669874.0
104974-001-002_S1_L001_2	64669874.0
104974-001-003_S1_L001_1	62898963.0
104974-001-003_S1_L001_2	62898963.0
104974-001-004_S1_L001_1	69625454.0
104974-001-004_S1_L001_2	69625454.0
104974-001-005_S1_L001_1	62977557.0
104974-001-005_S1_L001_2	62977557.0
104974-001-006_S1_L001_1	63367108.0
104974-001-006_S1_L001_2	63367108.0
104974-001-007_S1_L001_1	78579762.0
104974-001-007_S1_L001_2	78579762.0
104974-001-008_S1_L001_1	54697456.0
104974-001-008_S1_L001_2	54697456.0
104974-001-009_S1_L001_1	71054075.0
104974-001-009_S1_L001_2	71054075.0
104974-001-010_S1_L001_1	67630514.0
104974-001-010_S1_L001_2	67630514.0
104974-001-011_S1_L001_1	70867997.0
104974-001-011_S1_L001_2	70867997.0
104974-001-012_S1_L001_1	45745017.0
104974-001-012_S1_L001_2	45745017.0
104974-001-013_S1_L001_1	71652675.0
104974-001-013_S1_L001_2	71652675.0
104974-001-014_S1_L001_1	55558984.0
104974-001-014_S1_L001_2	55558984.0
104974-001-015_S1_L001_1	87296352.0
104974-001-015_S1_L001_2	87296352.0
104974-001-016_S1_L001_1	104935676.0
104974-001-016_S1_L001_2	104935676.0
