Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
104974-001-001_S1_L001_1 - Adapter 1	6681557	1889795	683505	195731	104797	73088	63995	72281	66642	65700	71239	69887	66134	67213	66512	65289	76102	60649	53614	60750	64106	57153	61224	59610	57463	53588	57036	52692	55062	54939	44326	50810	49465	50340	50919	43429	52073	40266	47654	39649	41586	39501	38813	41779	37707	39203	53521	19061	35443	32656	34564	29668	34983	29893	30004	30414	31220	26379	28464	30631	23527	22201	19987	25826	23624	22564	18866	33402	28450	34313	18589	14621	1864	3766	11459	14913	15240	14739	13833	13601	12825	12579	11224	11010	13576	10183	9563	9090	9032	7869	7489	7248	6611	6255	5984	5328	5579	5175	5113	4549	4266	3917	4238	3945	3646	3236	3274	3097	3457	3145	2935	2843	2843	2902	2896	2874	3353	2854	2987	3140	3134	3038	3237	3438	3410	3639	3364	3959	3315	3531	3411	3511	3685	3648	3109	3250	3179	2763	2805	2636	2100	2025	2058	1905	2419	3666	3419	6414	8965	59967	31914891
104974-001-001_S1_L001_2 - Adapter 1	6300776	1775473	529285	177187	107240	68357	65360	82029	57216	67322	67708	69167	70348	67346	60379	69504	64650	53827	66076	64356	51546	59256	58432	59344	64495	50857	52455	50939	50779	49605	51229	47596	52543	54776	38634	46354	45231	42784	42370	42389	43009	42146	33855	37375	38890	35375	37435	41646	28404	32182	34238	30109	31076	32085	28421	29689	27126	28681	27588	23385	24203	23202	23821	21715	27307	20255	18348	17729	20518	19553	18693	19040	19617	18413	27753	20607	15757	5611	8949	11064	10813	10939	9825	9575	9341	9155	8806	8314	8214	7069	6851	6639	6090	5718	5673	4901	5108	4788	4768	4144	4034	3688	3900	3628	3307	2845	2891	2758	2864	2869	2599	2537	2511	2652	2663	2591	3049	2607	2696	2840	2862	2731	2910	3183	3613	3287	3122	3654	3034	3310	3203	3399	3389	3337	2783	2858	2872	2355	2387	2211	1648	1459	1376	1091	1458	1933	1148	703	804	722	2387
104974-001-002_S1_L001_1 - Adapter 1	9849516	2751442	1018609	295862	161511	117060	104208	119340	105202	105802	112364	109437	104761	105585	103885	103838	118157	96945	86187	96777	100095	88590	96311	91558	90188	84998	88094	83181	86849	85543	71842	78639	77950	75635	75168	75617	72890	72461	63204	67659	68131	66178	61751	59019	64452	56333	87855	29478	52082	59548	54410	40971	59437	41818	43524	50363	58083	37327	47159	43562	43295	29330	24393	45541	39289	29476	29145	61296	28909	39506	25361	19972	2120	5104	15973	22391	22667	21401	20373	20193	19603	18566	16501	16408	45705	14457	14461	14508	13051	11330	10984	9867	8972	8721	8451	7631	7593	7277	6695	8377	5662	5071	6078	5500	4819	4394	4399	4340	4383	4829	4187	3971	4003	3966	4425	4167	4691	4345	4568	4827	4711	4751	5549	5254	4944	5034	4855	5778	4724	4968	4747	5038	4859	4850	4461	4336	4180	3719	3909	3505	2639	2448	2398	2273	2818	3913	3481	6350	8259	49869	19551181
104974-001-002_S1_L001_2 - Adapter 1	9109518	2583156	769455	266065	163513	110147	105364	130414	95858	107909	108371	108862	111786	106202	95766	110724	103084	87283	103384	101845	85180	92000	91721	92883	97688	82121	86860	80857	80801	79509	81146	75774	79880	71911	76793	78799	65127	66268	69600	68036	57806	64055	60993	61057	58542	55010	59132	65573	44111	49780	53880	46497	48027	48828	43922	46431	41878	43424	45011	34312	36515	37237	36241	32693	44035	31381	27283	26575	31902	30526	28171	28740	29440	28288	42791	31604	22338	8096	13631	17128	17254	16545	14962	14591	14217	13023	13147	12451	12246	10601	10318	9637	8495	8150	8221	7293	7209	7062	6453	5717	5448	4993	5763	5278	4573	4173	4101	4123	4130	4083	3909	3812	3769	3813	4214	3939	4474	4148	4210	4554	4378	4365	4322	4903	4612	4726	4555	5429	4419	4665	4474	4710	4513	4378	3843	3945	3705	3176	3161	2892	2088	1805	1652	1372	1821	2121	1395	951	894	810	1938
104974-001-003_S1_L001_1 - Adapter 1	4974688	1277714	478947	135837	72590	53975	47450	54909	50677	47596	51123	50048	49142	50571	49061	50298	58191	47010	38884	46456	49261	41977	45398	44566	44227	42222	45063	41459	44262	43652	32824	39852	39560	39309	39477	37821	37089	36465	32510	36337	33317	41024	25313	33292	34250	27617	47341	12970	28530	27663	27749	24771	27583	24238	26177	26230	28217	23783	23659	27123	19961	22196	19231	23837	21097	21566	17170	30223	35673	46647	27014	21429	2739	5001	19481	24964	22874	19414	16650	18823	21119	18260	14065	14836	67639	13685	12372	24517	14699	10900	9558	8785	7442	8286	7141	6854	7069	6404	5143	4681	4495	4025	3878	3528	3720	3197	3264	3081	15604	3671	3374	2579	2699	2369	2759	2575	2767	2359	2369	2734	3120	2516	3300	2256	3180	2251	2528	2468	2219	2169	2337	2190	2329	2329	2512	2051	2464	1792	3366	1799	1776	1599	1584	1713	2084	3343	3174	7269	8721	61220	40796203
104974-001-003_S1_L001_2 - Adapter 1	4326814	1055527	320600	116049	72685	49269	47968	60148	44632	47553	49755	49613	53328	49810	43743	54463	47285	42343	47563	49950	40738	43937	43931	43881	49460	39915	42385	40017	40967	38195	39685	37622	40201	41267	41393	31727	37438	33781	34398	33739	33808	32163	35044	27412	30713	28164	31475	35097	22439	26439	29017	24073	25227	26526	24388	24845	25031	26961	23646	19642	22308	22373	22380	20680	24047	19127	17023	18310	23147	24883	26239	22876	26672	25337	44797	30283	20299	7486	11317	15931	18647	16401	12867	12966	13216	11344	10752	11563	12766	9956	8567	8245	6965	6757	6514	6270	6083	5962	4901	4226	4102	3869	3593	3230	3343	2894	2942	2721	2801	3259	3088	2345	2486	2196	2528	2367	2586	2139	2140	2476	2458	2135	1998	2066	2952	2013	2292	2216	1932	1915	2206	2045	2021	2003	1877	1654	1955	1353	2798	1297	1247	1058	768	655	866	1250	787	488	625	485	2182
104974-001-004_S1_L001_1 - Adapter 1	3192003	784452	290283	82954	41203	30179	26262	30972	28775	28057	29673	29082	27383	29058	29169	28278	34171	27045	22769	26481	28297	24587	27431	25863	26577	24960	26483	24949	26344	27456	19696	23827	24594	25776	22076	24232	21676	21986	22397	21875	22145	20054	21497	23398	19667	19849	29933	9606	19596	47393	24548	7447	39245	8499	11225	29136	25316	11693	15230	11612	27110	4421	7433	17912	10324	6123	15950	19860	4115	11103	12546	15515	1092	1055	5621	11292	11663	11336	10157	11090	11861	10414	8566	8710	30853	7798	7275	7601	7701	6591	5701	5427	4977	5162	4342	4307	3832	3762	3259	3131	2826	2548	2450	2239	2335	2021	1960	1964	1970	1870	1930	1663	1679	1471	2106	1569	1576	1461	1484	1707	1765	1567	2146	1386	1592	1396	1668	2046	1579	1607	1552	1618	1443	1749	1784	1567	1589	1259	2248	1363	1312	1378	1529	1601	1873	2979	3217	8141	9879	73850	55607611
104974-001-004_S1_L001_2 - Adapter 1	2792576	627236	195742	69851	42077	27986	26660	34498	25059	27989	28028	28884	29167	28055	26179	31048	26213	23997	28368	29363	21841	25560	25592	26817	30348	23468	22925	24157	23620	23506	23830	22556	23990	23764	23267	23522	21139	20532	21725	20933	19947	21819	18424	19475	19959	18157	19834	21640	14146	17183	18251	15595	16264	17226	14774	16009	16169	16498	15813	13143	14665	14530	14069	12627	15475	13154	11514	11294	14417	14670	14375	14037	16164	14287	24119	16204	11530	4199	6991	9290	10260	9241	7535	7479	7931	6657	6558	6797	6924	5953	5121	4978	4470	4402	3926	3891	3504	3313	2960	2545	2605	2291	2132	1951	2054	1665	1710	1707	1579	1624	1647	1445	1466	1287	1450	1318	1321	1253	1264	1432	1427	1225	1421	1205	3818	1339	1455	1299	1291	1172	1605	1603	1176	1322	1091	1056	996	803	1169	785	715	559	566	425	556	765	444	228	360	266	1863
104974-001-005_S1_L001_1 - Adapter 1	4765754	1146617	445366	128838	72487	56292	47752	55482	53704	52525	56180	53207	49914	48949	50693	50202	58551	50488	42744	49354	49698	43352	47948	48582	45512	43235	47757	43210	43897	45122	38621	42228	39609	41602	42311	37387	39793	40756	41359	34361	34714	37732	35244	35122	32785	30798	46544	14720	31384	29223	29474	26581	29815	25843	27107	27161	29622	25626	24922	29062	22914	24191	20850	25516	21877	23766	20026	35107	39995	54320	27327	19234	2889	5150	20827	27653	24027	22366	18258	21372	23740	19624	15486	15258	30820	12176	12070	18398	14617	10498	8849	8642	7532	7539	8941	6558	7486	6138	5141	6788	4804	3940	3792	3497	4100	3135	3161	2803	3024	3330	3320	2467	2554	2327	2798	2279	2349	2062	2112	2667	2918	1959	3665	1954	2396	1803	2001	2025	2039	1706	2134	1784	2016	2066	1934	1770	2011	1299	2791	1386	1688	1564	1388	1361	1707	2700	2480	5483	6538	48288	42176200
104974-001-005_S1_L001_2 - Adapter 1	4117608	896025	279151	113029	76704	49168	45885	60638	47514	51331	53956	53612	52842	47752	45709	55404	43841	46996	48941	54640	43522	44573	45602	48106	52681	42053	41095	41541	40121	42711	41300	41157	40718	38531	43441	35244	40028	38329	39782	37498	39053	29852	33090	31859	34815	28312	30746	38567	23816	28097	30105	26036	28135	28652	24529	25747	27524	28431	22967	24143	23996	24589	24105	21890	24001	21592	20021	21059	24685	29031	27764	25562	29365	27362	47357	33633	24171	8485	11691	17675	20162	17398	13937	13791	14526	11055	11218	11729	13125	9580	7954	8126	6864	6526	6762	5884	6301	5483	4733	4805	4451	3583	3389	3278	3718	2754	2807	2505	2555	3045	2948	2251	2323	2080	2676	2014	2171	1837	1923	2451	2475	1622	1863	1827	2005	1557	1788	1824	1780	1561	2181	1788	1855	1814	1683	1399	1648	940	2225	939	1288	1055	721	580	903	1286	746	402	549	482	2590
