Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
104974-001-001_S1_L001_1 - Adapter 1	0.42620823725948687	0.4821907142039553	0.6975990113864472	0.7990680512808579	1.7113262668341027	4.774091565257719	16.720664698351317	75.54452341137124	278.6036789297659	1098.6622073578596	4749.266666666666	18888.378378378377	73482.22222222222	74681.11111111111	73902.22222222222	72543.33333333333	84557.77777777778	67387.77777777778	59571.11111111111	67500.0	71228.88888888889	63503.33333333333	68026.66666666667	66233.33333333333	63847.777777777774	59542.22222222222	63373.33333333333	58546.666666666664	61180.0	61043.33333333333	49251.11111111111	56455.555555555555	54961.11111111111	55933.33333333333	56576.666666666664	48254.444444444445	57858.88888888889	44740.0	52948.88888888889	44054.444444444445	46206.666666666664	43890.0	43125.555555555555	46421.11111111111	41896.666666666664	43558.88888888889	59467.777777777774	21178.888888888887	39381.11111111111	36284.444444444445	38404.444444444445	32964.444444444445	38870.0	33214.444444444445	33337.777777777774	33793.333333333336	34688.88888888889	29310.0	31626.666666666664	34034.444444444445	26141.11111111111	24667.777777777777	22207.777777777777	28695.555555555555	26248.888888888887	25071.11111111111	20962.222222222223	37113.333333333336	31611.11111111111	38125.555555555555	20654.444444444445	16245.555555555555	2071.111111111111	4184.444444444444	12732.222222222223	16570.0	16933.333333333332	16376.666666666666	15370.0	15112.222222222223	14250.0	13976.666666666666	12471.111111111111	12233.333333333334	15084.444444444443	11314.444444444443	10625.555555555555	10100.0	10035.555555555555	8743.333333333334	8321.111111111111	8053.333333333333	7345.555555555556	6950.0	6648.888888888889	5920.0	6198.888888888889	5750.0	5681.111111111111	5054.444444444444	4740.0	4352.222222222222	4708.888888888889	4383.333333333333	4051.111111111111	3595.5555555555557	3637.777777777778	3441.111111111111	3841.111111111111	3494.4444444444443	3261.111111111111	3158.8888888888887	3158.8888888888887	3224.4444444444443	3217.777777777778	3193.333333333333	3725.5555555555557	3171.111111111111	3318.8888888888887	3488.8888888888887	3482.222222222222	3375.5555555555557	3596.6666666666665	3820.0	3788.8888888888887	4043.333333333333	3737.777777777778	4398.888888888889	3683.333333333333	3923.333333333333	3790.0	3901.111111111111	4094.4444444444443	4053.333333333333	3454.4444444444443	3611.111111111111	3532.222222222222	3070.0	3116.6666666666665	2928.8888888888887	2333.3333333333335	2250.0	2286.6666666666665	2116.6666666666665	2687.777777777778	4073.333333333333	3798.8888888888887	7126.666666666666	9961.111111111111	66630.0	35460990.0
104974-001-001_S1_L001_2 - Adapter 1	0.40191868936041114	0.4530208800001266	0.540198963784721	0.7233625271536005	1.7512202530157273	4.465063719438511	17.077312988268492	85.73265050167224	239.19732441471572	1125.7859531772576	4513.866666666667	18693.783783783783	78164.44444444444	74828.88888888889	67087.77777777778	77226.66666666667	71833.33333333333	59807.777777777774	73417.77777777778	71506.66666666667	57273.33333333333	65840.0	64924.444444444445	65937.77777777778	71661.11111111111	56507.777777777774	58283.33333333333	56598.88888888889	56421.11111111111	55116.666666666664	56921.11111111111	52884.444444444445	58381.11111111111	60862.22222222222	42926.666666666664	51504.444444444445	50256.666666666664	47537.777777777774	47077.777777777774	47098.88888888889	47787.777777777774	46828.88888888889	37616.666666666664	41527.777777777774	43211.11111111111	39305.555555555555	41594.444444444445	46273.333333333336	31560.0	35757.777777777774	38042.22222222222	33454.444444444445	34528.88888888889	35650.0	31578.888888888887	32987.777777777774	30140.0	31867.777777777777	30653.333333333332	25983.333333333332	26892.222222222223	25780.0	26467.777777777777	24127.777777777777	30341.11111111111	22505.555555555555	20386.666666666668	19698.888888888887	22797.777777777777	21725.555555555555	20770.0	21155.555555555555	21796.666666666668	20458.888888888887	30836.666666666664	22896.666666666668	17507.777777777777	6234.444444444444	9943.333333333334	12293.333333333332	12014.444444444443	12154.444444444443	10916.666666666666	10638.888888888889	10378.888888888889	10172.222222222223	9784.444444444443	9237.777777777777	9126.666666666666	7854.444444444444	7612.222222222222	7376.666666666666	6766.666666666666	6353.333333333333	6303.333333333333	5445.555555555556	5675.555555555556	5320.0	5297.777777777777	4604.444444444444	4482.222222222222	4097.777777777777	4333.333333333333	4031.111111111111	3674.4444444444443	3161.111111111111	3212.222222222222	3064.4444444444443	3182.222222222222	3187.777777777778	2887.777777777778	2818.8888888888887	2790.0	2946.6666666666665	2958.8888888888887	2878.8888888888887	3387.777777777778	2896.6666666666665	2995.5555555555557	3155.5555555555557	3180.0	3034.4444444444443	3233.333333333333	3536.6666666666665	4014.4444444444443	3652.222222222222	3468.8888888888887	4060.0	3371.111111111111	3677.777777777778	3558.8888888888887	3776.6666666666665	3765.5555555555557	3707.777777777778	3092.222222222222	3175.5555555555557	3191.111111111111	2616.6666666666665	2652.222222222222	2456.6666666666665	1831.111111111111	1621.111111111111	1528.888888888889	1212.2222222222222	1620.0	2147.777777777778	1275.5555555555554	781.1111111111111	893.3333333333333	802.2222222222222	2652.222222222222
104974-001-002_S1_L001_1 - Adapter 1	0.6092181964047123	0.6807353957778572	1.0080578599910457	1.171189394842067	2.5574071083158367	7.414257212528106	26.401155278558942	120.93635995135793	426.4369679773004	1714.7811993517016	7296.363636363636	28060.76923076923	104761.0	105585.0	103885.0	103838.0	118157.0	96945.0	86187.0	96777.0	100095.0	88590.0	96311.0	91558.0	90188.0	84998.0	88094.0	83181.0	86849.0	85543.0	71842.0	78639.0	77950.0	75635.0	75168.0	75617.0	72890.0	72461.0	63204.0	67659.0	68131.0	66178.0	61751.0	59019.0	64452.0	56333.0	87855.0	29478.0	52082.0	59548.0	54410.0	40971.0	59437.0	41818.0	43524.0	50363.0	58083.0	37327.0	47159.0	43562.0	43295.0	29330.0	24393.0	45541.0	39289.0	29476.0	29145.0	61296.0	28909.0	39506.0	25361.0	19972.0	2120.0	5104.0	15973.0	22391.0	22667.0	21401.0	20373.0	20193.0	19603.0	18566.0	16501.0	16408.0	45705.0	14457.0	14461.0	14508.0	13051.0	11330.0	10984.0	9867.0	8972.0	8721.0	8451.0	7631.0	7593.0	7277.0	6695.0	8377.0	5662.0	5071.0	6078.0	5500.0	4819.0	4394.0	4399.0	4340.0	4383.0	4829.0	4187.0	3971.0	4003.0	3966.0	4425.0	4167.0	4691.0	4345.0	4568.0	4827.0	4711.0	4751.0	5549.0	5254.0	4944.0	5034.0	4855.0	5778.0	4724.0	4968.0	4747.0	5038.0	4859.0	4850.0	4461.0	4336.0	4180.0	3719.0	3909.0	3505.0	2639.0	2448.0	2398.0	2273.0	2818.0	3913.0	3481.0	6350.0	8259.0	49869.0	19551181.0
104974-001-002_S1_L001_2 - Adapter 1	0.5634473943771716	0.6390996873697307	0.7614846920255074	1.0532359895446342	2.5891072961101558	6.97640687842417	26.69402852727319	132.15849209566275	388.56100526955817	1748.9303079416532	7037.077922077922	27913.333333333336	111786.0	106202.0	95766.0	110724.0	103084.0	87283.0	103384.0	101845.0	85180.0	92000.0	91721.0	92883.0	97688.0	82121.0	86860.0	80857.0	80801.0	79509.0	81146.0	75774.0	79880.0	71911.0	76793.0	78799.0	65127.0	66268.0	69600.0	68036.0	57806.0	64055.0	60993.0	61057.0	58542.0	55010.0	59132.0	65573.0	44111.0	49780.0	53880.0	46497.0	48027.0	48828.0	43922.0	46431.0	41878.0	43424.0	45011.0	34312.0	36515.0	37237.0	36241.0	32693.0	44035.0	31381.0	27283.0	26575.0	31902.0	30526.0	28171.0	28740.0	29440.0	28288.0	42791.0	31604.0	22338.0	8096.0	13631.0	17128.0	17254.0	16545.0	14962.0	14591.0	14217.0	13023.0	13147.0	12451.0	12246.0	10601.0	10318.0	9637.0	8495.0	8150.0	8221.0	7293.0	7209.0	7062.0	6453.0	5717.0	5448.0	4993.0	5763.0	5278.0	4573.0	4173.0	4101.0	4123.0	4130.0	4083.0	3909.0	3812.0	3769.0	3813.0	4214.0	3939.0	4474.0	4148.0	4210.0	4554.0	4378.0	4365.0	4322.0	4903.0	4612.0	4726.0	4555.0	5429.0	4419.0	4665.0	4474.0	4710.0	4513.0	4378.0	3843.0	3945.0	3705.0	3176.0	3161.0	2892.0	2088.0	1805.0	1652.0	1372.0	1821.0	2121.0	1395.0	951.0	894.0	810.0	1938.0
104974-001-003_S1_L001_1 - Adapter 1	0.31636057237903725	0.32502004738927076	0.4873308945098796	0.5528591679823003	1.1817702296140973	3.5148669592737787	12.359989580619953	57.208793498645555	211.24218424343476	793.2666666666667	3408.2	13526.486486486487	54602.22222222222	56190.0	54512.22222222222	55886.666666666664	64656.666666666664	52233.33333333333	43204.444444444445	51617.777777777774	54734.444444444445	46641.11111111111	50442.22222222222	49517.777777777774	49141.11111111111	46913.333333333336	50070.0	46065.555555555555	49180.0	48502.22222222222	36471.11111111111	44280.0	43955.555555555555	43676.666666666664	43863.333333333336	42023.333333333336	41210.0	40516.666666666664	36122.22222222222	40374.444444444445	37018.88888888889	45582.22222222222	28125.555555555555	36991.11111111111	38055.555555555555	30685.555555555555	52601.11111111111	14411.111111111111	31700.0	30736.666666666664	30832.222222222223	27523.333333333332	30647.777777777777	26931.11111111111	29085.555555555555	29144.444444444445	31352.222222222223	26425.555555555555	26287.777777777777	30136.666666666664	22178.888888888887	24662.222222222223	21367.777777777777	26485.555555555555	23441.11111111111	23962.222222222223	19077.777777777777	33581.11111111111	39636.666666666664	51830.0	30015.555555555555	23810.0	3043.3333333333335	5556.666666666667	21645.555555555555	27737.777777777777	25415.555555555555	21571.11111111111	18500.0	20914.444444444445	23465.555555555555	20288.888888888887	15627.777777777777	16484.444444444445	75154.44444444444	15205.555555555555	13746.666666666666	27241.11111111111	16332.222222222223	12111.111111111111	10620.0	9761.111111111111	8268.888888888889	9206.666666666666	7934.444444444444	7615.555555555556	7854.444444444444	7115.555555555556	5714.444444444444	5201.111111111111	4994.444444444444	4472.222222222222	4308.888888888889	3920.0	4133.333333333333	3552.222222222222	3626.6666666666665	3423.333333333333	17337.777777777777	4078.8888888888887	3748.8888888888887	2865.5555555555557	2998.8888888888887	2632.222222222222	3065.5555555555557	2861.111111111111	3074.4444444444443	2621.111111111111	2632.222222222222	3037.777777777778	3466.6666666666665	2795.5555555555557	3666.6666666666665	2506.6666666666665	3533.333333333333	2501.111111111111	2808.8888888888887	2742.222222222222	2465.5555555555557	2410.0	2596.6666666666665	2433.3333333333335	2587.777777777778	2587.777777777778	2791.111111111111	2278.8888888888887	2737.777777777778	1991.111111111111	3740.0	1998.888888888889	1973.3333333333333	1776.6666666666665	1760.0	1903.3333333333333	2315.5555555555557	3714.4444444444443	3526.6666666666665	8076.666666666666	9690.0	68022.22222222222	45329114.44444444
104974-001-003_S1_L001_2 - Adapter 1	0.2751596388793893	0.268500959964949	0.3262120543188858	0.472321632435772	1.1833168361964548	3.208410934996939	12.494920552227143	62.667222337987084	186.04418507711546	792.55	3317.0	13408.918918918918	59253.33333333333	55344.444444444445	48603.333333333336	60514.444444444445	52538.88888888889	47047.777777777774	52847.777777777774	55500.0	45264.444444444445	48818.88888888889	48812.22222222222	48756.666666666664	54955.555555555555	44350.0	47094.444444444445	44463.333333333336	45518.88888888889	42438.88888888889	44094.444444444445	41802.22222222222	44667.777777777774	45852.22222222222	45992.22222222222	35252.22222222222	41597.777777777774	37534.444444444445	38220.0	37487.777777777774	37564.444444444445	35736.666666666664	38937.777777777774	30457.777777777777	34125.555555555555	31293.333333333332	34972.22222222222	38996.666666666664	24932.222222222223	29376.666666666664	32241.11111111111	26747.777777777777	28030.0	29473.333333333332	27097.777777777777	27605.555555555555	27812.222222222223	29956.666666666664	26273.333333333332	21824.444444444445	24786.666666666664	24858.888888888887	24866.666666666664	22977.777777777777	26718.888888888887	21252.222222222223	18914.444444444445	20344.444444444445	25718.888888888887	27647.777777777777	29154.444444444445	25417.777777777777	29635.555555555555	28152.222222222223	49774.444444444445	33647.777777777774	22554.444444444445	8317.777777777777	12574.444444444443	17701.11111111111	20718.888888888887	18223.333333333332	14296.666666666666	14406.666666666666	14684.444444444443	12604.444444444443	11946.666666666666	12847.777777777777	14184.444444444443	11062.222222222223	9518.888888888889	9161.111111111111	7738.888888888889	7507.777777777777	7237.777777777777	6966.666666666666	6758.888888888889	6624.444444444444	5445.555555555556	4695.555555555556	4557.777777777777	4298.888888888889	3992.222222222222	3588.8888888888887	3714.4444444444443	3215.5555555555557	3268.8888888888887	3023.3333333333335	3112.222222222222	3621.111111111111	3431.111111111111	2605.5555555555557	2762.222222222222	2440.0	2808.8888888888887	2630.0	2873.3333333333335	2376.6666666666665	2377.777777777778	2751.111111111111	2731.111111111111	2372.222222222222	2220.0	2295.5555555555557	3280.0	2236.6666666666665	2546.6666666666665	2462.222222222222	2146.6666666666665	2127.777777777778	2451.111111111111	2272.222222222222	2245.5555555555557	2225.5555555555557	2085.5555555555557	1837.7777777777778	2172.222222222222	1503.3333333333333	3108.8888888888887	1441.111111111111	1385.5555555555554	1175.5555555555554	853.3333333333333	727.7777777777777	962.2222222222222	1388.888888888889	874.4444444444445	542.2222222222222	694.4444444444445	538.8888888888889	2424.4444444444443
104974-001-004_S1_L001_1 - Adapter 1	0.18338138233181214	0.1802678647939998	0.2668293167638832	0.30500664768448793	0.6059835043298192	1.7754023908132528	6.179875753012047	29.15286144578313	108.33960843373492	422.54518072289153	1787.5301204819275	6924.285714285714	27383.0	29058.0	29169.0	28278.0	34171.0	27045.0	22769.0	26481.0	28297.0	24587.0	27431.0	25863.0	26577.0	24960.0	26483.0	24949.0	26344.0	27456.0	19696.0	23827.0	24594.0	25776.0	22076.0	24232.0	21676.0	21986.0	22397.0	21875.0	22145.0	20054.0	21497.0	23398.0	19667.0	19849.0	29933.0	9606.0	19596.0	47393.0	24548.0	7447.0	39245.0	8499.0	11225.0	29136.0	25316.0	11693.0	15230.0	11612.0	27110.0	4421.0	7433.0	17912.0	10324.0	6123.0	15950.0	19860.0	4115.0	11103.0	12546.0	15515.0	1092.0	1055.0	5621.0	11292.0	11663.0	11336.0	10157.0	11090.0	11861.0	10414.0	8566.0	8710.0	30853.0	7798.0	7275.0	7601.0	7701.0	6591.0	5701.0	5427.0	4977.0	5162.0	4342.0	4307.0	3832.0	3762.0	3259.0	3131.0	2826.0	2548.0	2450.0	2239.0	2335.0	2021.0	1960.0	1964.0	1970.0	1870.0	1930.0	1663.0	1679.0	1471.0	2106.0	1569.0	1576.0	1461.0	1484.0	1707.0	1765.0	1567.0	2146.0	1386.0	1592.0	1396.0	1668.0	2046.0	1579.0	1607.0	1552.0	1618.0	1443.0	1749.0	1784.0	1567.0	1589.0	1259.0	2248.0	1363.0	1312.0	1378.0	1529.0	1601.0	1873.0	2979.0	3217.0	8141.0	9879.0	73850.0	55607611.0
104974-001-004_S1_L001_2 - Adapter 1	0.16043419982582807	0.1441394686251412	0.1799268442244156	0.25682931923004515	0.6188376553087349	1.6463902484939759	6.273531626506023	32.471762048192765	94.34864457831324	421.52108433734935	1688.4337349397588	6877.142857142857	29167.0	28055.0	26179.0	31048.0	26213.0	23997.0	28368.0	29363.0	21841.0	25560.0	25592.0	26817.0	30348.0	23468.0	22925.0	24157.0	23620.0	23506.0	23830.0	22556.0	23990.0	23764.0	23267.0	23522.0	21139.0	20532.0	21725.0	20933.0	19947.0	21819.0	18424.0	19475.0	19959.0	18157.0	19834.0	21640.0	14146.0	17183.0	18251.0	15595.0	16264.0	17226.0	14774.0	16009.0	16169.0	16498.0	15813.0	13143.0	14665.0	14530.0	14069.0	12627.0	15475.0	13154.0	11514.0	11294.0	14417.0	14670.0	14375.0	14037.0	16164.0	14287.0	24119.0	16204.0	11530.0	4199.0	6991.0	9290.0	10260.0	9241.0	7535.0	7479.0	7931.0	6657.0	6558.0	6797.0	6924.0	5953.0	5121.0	4978.0	4470.0	4402.0	3926.0	3891.0	3504.0	3313.0	2960.0	2545.0	2605.0	2291.0	2132.0	1951.0	2054.0	1665.0	1710.0	1707.0	1579.0	1624.0	1647.0	1445.0	1466.0	1287.0	1450.0	1318.0	1321.0	1253.0	1264.0	1432.0	1427.0	1225.0	1421.0	1205.0	3818.0	1339.0	1455.0	1299.0	1291.0	1172.0	1605.0	1603.0	1176.0	1322.0	1091.0	1056.0	996.0	803.0	1169.0	785.0	715.0	559.0	566.0	425.0	556.0	765.0	444.0	228.0	360.0	266.0	1863.0
104974-001-005_S1_L001_1 - Adapter 1	0.30269538814500346	0.2913080934254344	0.4525965466503215	0.5237187207959477	1.1786216596343178	3.661173042652549	12.423122951246162	57.733610822060356	223.5803497085762	873.9600665557405	3745.3333333333335	14001.842105263158	55460.0	54387.777777777774	56325.555555555555	55780.0	65056.666666666664	56097.777777777774	47493.333333333336	54837.777777777774	55220.0	48168.88888888889	53275.555555555555	53980.0	50568.88888888889	48038.88888888889	53063.33333333333	48011.11111111111	48774.444444444445	50135.555555555555	42912.22222222222	46920.0	44010.0	46224.444444444445	47012.22222222222	41541.11111111111	44214.444444444445	45284.444444444445	45954.444444444445	38178.88888888889	38571.11111111111	41924.444444444445	39160.0	39024.444444444445	36427.777777777774	34220.0	51715.555555555555	16355.555555555555	34871.11111111111	32470.0	32748.888888888887	29534.444444444445	33127.777777777774	28714.444444444445	30118.888888888887	30178.888888888887	32913.333333333336	28473.333333333332	27691.11111111111	32291.11111111111	25460.0	26878.888888888887	23166.666666666668	28351.11111111111	24307.777777777777	26406.666666666664	22251.11111111111	39007.777777777774	44438.88888888889	60355.555555555555	30363.333333333332	21371.11111111111	3210.0	5722.222222222222	23141.11111111111	30725.555555555555	26696.666666666664	24851.11111111111	20286.666666666668	23746.666666666668	26377.777777777777	21804.444444444445	17206.666666666668	16953.333333333332	34244.444444444445	13528.888888888889	13411.111111111111	20442.222222222223	16241.111111111111	11664.444444444443	9832.222222222223	9602.222222222223	8368.888888888889	8376.666666666666	9934.444444444443	7286.666666666666	8317.777777777777	6820.0	5712.222222222222	7542.222222222222	5337.777777777777	4377.777777777777	4213.333333333333	3885.5555555555557	4555.555555555556	3483.333333333333	3512.222222222222	3114.4444444444443	3360.0	3700.0	3688.8888888888887	2741.111111111111	2837.777777777778	2585.5555555555557	3108.8888888888887	2532.222222222222	2610.0	2291.111111111111	2346.6666666666665	2963.3333333333335	3242.222222222222	2176.6666666666665	4072.222222222222	2171.111111111111	2662.222222222222	2003.3333333333333	2223.3333333333335	2250.0	2265.5555555555557	1895.5555555555554	2371.111111111111	1982.2222222222222	2240.0	2295.5555555555557	2148.8888888888887	1966.6666666666665	2234.4444444444443	1443.3333333333333	3101.111111111111	1540.0	1875.5555555555554	1737.7777777777778	1542.2222222222222	1512.2222222222222	1896.6666666666665	3000.0	2755.5555555555557	6092.222222222222	7264.444444444444	53653.33333333333	46862444.44444444
104974-001-005_S1_L001_2 - Adapter 1	0.2615285958505142	0.22764300059350667	0.2836830350632601	0.45945608665801374	1.2471890929489524	3.1978355034665764	11.937405692283678	63.09885535900104	197.81015820149875	854.0931780366057	3597.0666666666666	14108.42105263158	58713.33333333333	53057.777777777774	50787.777777777774	61560.0	48712.22222222222	52217.777777777774	54378.88888888889	60711.11111111111	48357.777777777774	49525.555555555555	50668.88888888889	53451.11111111111	58534.444444444445	46725.555555555555	45661.11111111111	46156.666666666664	44578.88888888889	47456.666666666664	45888.88888888889	45730.0	45242.22222222222	42812.22222222222	48267.777777777774	39160.0	44475.555555555555	42587.777777777774	44202.22222222222	41664.444444444445	43392.22222222222	33168.88888888889	36766.666666666664	35398.88888888889	38683.333333333336	31457.777777777777	34162.22222222222	42852.22222222222	26462.222222222223	31218.888888888887	33450.0	28928.888888888887	31261.11111111111	31835.555555555555	27254.444444444445	28607.777777777777	30582.222222222223	31590.0	25518.888888888887	26825.555555555555	26662.222222222223	27321.11111111111	26783.333333333332	24322.222222222223	26667.777777777777	23991.11111111111	22245.555555555555	23398.888888888887	27427.777777777777	32256.666666666664	30848.888888888887	28402.222222222223	32627.777777777777	30402.222222222223	52618.88888888889	37370.0	26856.666666666664	9427.777777777777	12990.0	19638.888888888887	22402.222222222223	19331.11111111111	15485.555555555555	15323.333333333332	16140.0	12283.333333333334	12464.444444444443	13032.222222222223	14583.333333333332	10644.444444444443	8837.777777777777	9028.888888888889	7626.666666666666	7251.111111111111	7513.333333333333	6537.777777777777	7001.111111111111	6092.222222222222	5258.888888888889	5338.888888888889	4945.555555555556	3981.111111111111	3765.5555555555557	3642.222222222222	4131.111111111111	3060.0	3118.8888888888887	2783.3333333333335	2838.8888888888887	3383.333333333333	3275.5555555555557	2501.111111111111	2581.111111111111	2311.111111111111	2973.3333333333335	2237.777777777778	2412.222222222222	2041.111111111111	2136.6666666666665	2723.3333333333335	2750.0	1802.2222222222222	2070.0	2030.0	2227.777777777778	1730.0	1986.6666666666665	2026.6666666666665	1977.7777777777778	1734.4444444444443	2423.3333333333335	1986.6666666666665	2061.111111111111	2015.5555555555554	1870.0	1554.4444444444443	1831.111111111111	1044.4444444444443	2472.222222222222	1043.3333333333333	1431.111111111111	1172.2222222222222	801.1111111111111	644.4444444444445	1003.3333333333333	1428.888888888889	828.8888888888889	446.66666666666663	610.0	535.5555555555555	2877.777777777778
