Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
104974-001-001_S1_L001_1	0.25902540840096633	0.20811739573411647
104974-001-001_S1_L001_2	1.8405737710947299	0.4392793959691721
104974-001-002_S1_L001_1	0.2475486344300869	0.45769781885837424
104974-001-002_S1_L001_2	1.251992914951263	0.2760147117569687
104974-001-003_S1_L001_1	0.7563437884049496	1.164691590237517
104974-001-003_S1_L001_2	2.670565546460347	0.7115015054911176
104974-001-004_S1_L001_1	0.5076631054589945	1.9357487709746337
104974-001-004_S1_L001_2	4.29065653572238	0.40920976657698915
104974-001-005_S1_L001_1	0.5872375441965144	1.7104684743461895
104974-001-005_S1_L001_2	2.128509359000107	0.6939244569976672
104974-001-006_S1_L001_1	0.42269615910483505	1.926784371707346
104974-001-006_S1_L001_2	3.690631766647666	0.6102215642202671
104974-001-007_S1_L001_1	0.430225723130386	4.4253770733589155
104974-001-007_S1_L001_2	0.8574460978771254	1.6185568897927385
104974-001-008_S1_L001_1	0.6746487811867075	8.329347734632671
104974-001-008_S1_L001_2	0.7537088056029893	4.038098865410902
104974-001-009_S1_L001_1	1.293359095616185	24.212313308016704
104974-001-009_S1_L001_2	1.103403259129389	13.766329982895439
104974-001-010_S1_L001_1	1.6176840292081636	28.163723097774017
104974-001-010_S1_L001_2	0.9214474546368556	14.887964512247049
104974-001-011_S1_L001_1	1.4640172174244694	27.47946495218895
104974-001-011_S1_L001_2	1.0554651701310376	15.516247037349826
104974-001-012_S1_L001_1	1.195445334893233	26.805820770268017
104974-001-012_S1_L001_2	1.2137254110028282	24.42317348569103
104974-001-013_S1_L001_1	1.325381137857899	31.73554763731727
104974-001-013_S1_L001_2	1.1574747659403235	29.8064533177216
104974-001-014_S1_L001_1	1.8567285810373284	51.90722598434131
104974-001-014_S1_L001_2	1.996937474161806	53.406979455319714
104974-001-015_S1_L001_1	1.8582902619043897	45.17113035766276
104974-001-015_S1_L001_2	1.5029287500101678	44.853324072933525
104974-001-016_S1_L001_1	1.9085187384697728	53.24699259814275
104974-001-016_S1_L001_2	1.825117906598846	53.66792817314497
