Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
104974-001-001_S1_L001_1	48.703947943778886	1.4857614237855472
104974-001-001_S1_L001_2	35.78101171907966	6.962956208442002
104974-001-002_S1_L001_1	29.347151658282183	0.7711194860221902
104974-001-002_S1_L001_2	21.785963275574034	4.651706913794204
104974-001-003_S1_L001_1	62.38326536480419	1.6523674643093926
104974-001-003_S1_L001_2	38.75204111075726	12.289137421868148
104974-001-004_S1_L001_1	76.78409393208409	1.5294478367063817
104974-001-004_S1_L001_2	65.72479656649708	6.936398576302281
104974-001-005_S1_L001_1	65.00952394834879	1.168638535788233
104974-001-005_S1_L001_2	3.801481216554653	17.81922884052172
104974-001-006_S1_L001_1	74.9648966148179	0.44551977975703494
104974-001-006_S1_L001_2	63.602167231618026	6.418509741678605
104974-001-007_S1_L001_1	17.582158113433838	4.42721498698355
104974-001-007_S1_L001_2	13.590321131285688	2.23198945295864
104974-001-008_S1_L001_1	12.947739287911306	16.223637530783876
104974-001-008_S1_L001_2	18.598737023528113	4.347684835653059
104974-001-009_S1_L001_1	23.459567941740147	16.256472271294776
104974-001-009_S1_L001_2	17.098136876737893	11.967139112007313
104974-001-010_S1_L001_1	17.48767723397755	22.4910030995772
104974-001-010_S1_L001_2	10.341592258192803	14.342351442131575
104974-001-011_S1_L001_1	32.365380666819185	16.65722963780113
104974-001-011_S1_L001_2	23.11454633041202	11.11657776922916
104974-001-012_S1_L001_1	1.75739141161539	27.903627186322836
104974-001-012_S1_L001_2	2.2086471188763577	25.189497688895827
104974-001-013_S1_L001_1	2.3253716626769343	33.9633265610809
104974-001-013_S1_L001_2	2.8462845246182367	31.287515783604743
104974-001-014_S1_L001_1	5.310278892069013	50.63500981227445
104974-001-014_S1_L001_2	6.658647681534277	51.18306879045878
104974-001-015_S1_L001_1	4.284823952322773	45.66533318597322
104974-001-015_S1_L001_2	5.209022938323929	43.4885755592628
104974-001-016_S1_L001_1	2.596025588094558	54.646826690285955
104974-001-016_S1_L001_2	3.142346936422271	54.45819113034537
