Sample	Unique Reads	Duplicate Reads
104974-001-001_S1_L001_1	5669330.0	24919175.0
104974-001-001_S1_L001_2	10221152.0	20367353.0
104974-001-002_S1_L001_1	6350364.0	38548692.0
104974-001-002_S1_L001_2	11057104.0	33841952.0
104974-001-003_S1_L001_1	2364924.0	19576421.0
104974-001-003_S1_L001_2	4636759.0	17304586.0
104974-001-004_S1_L001_1	2882337.0	10978036.0
104974-001-004_S1_L001_2	4507674.0	9352699.0
104974-001-005_S1_L001_1	1596138.0	19077438.0
104974-001-005_S1_L001_2	3909831.0	16763745.0
104974-001-006_S1_L001_1	3231031.0	11003307.0
104974-001-006_S1_L001_2	4406979.0	9827359.0
104974-001-007_S1_L001_1	18633305.0	44720415.0
104974-001-007_S1_L001_2	23969517.0	39384203.0
104974-001-008_S1_L001_1	11255884.0	29902717.0
104974-001-008_S1_L001_2	14132715.0	27025886.0
104974-001-009_S1_L001_1	4336515.0	49200666.0
104974-001-009_S1_L001_2	6615040.0	46922141.0
104974-001-010_S1_L001_1	4416604.0	50456411.0
104974-001-010_S1_L001_2	7050447.0	47822568.0
104974-001-011_S1_L001_1	2650035.0	43233715.0
104974-001-011_S1_L001_2	4772968.0	41110782.0
104974-001-012_S1_L001_1	6909684.0	37756432.0
104974-001-012_S1_L001_2	7650082.0	37016034.0
104974-001-013_S1_L001_1	7753135.0	61575979.0
104974-001-013_S1_L001_2	8856920.0	60472194.0
104974-001-014_S1_L001_1	2575633.0	48951769.0
104974-001-014_S1_L001_2	2860961.0	48666441.0
104974-001-015_S1_L001_1	5605416.0	76516308.0
104974-001-015_S1_L001_2	6330540.0	75791184.0
104974-001-016_S1_L001_1	3030568.0	98027177.0
104974-001-016_S1_L001_2	3730403.0	97327342.0
