Sample	Unique Reads	Duplicate Reads
104974-001-001_S1_L001_1	5747549.0	56959423.0
104974-001-001_S1_L001_2	14320110.0	48386862.0
104974-001-002_S1_L001_1	6125536.0	58544338.0
104974-001-002_S1_L001_2	11742981.0	52926893.0
104974-001-003_S1_L001_1	2431130.0	60467833.0
104974-001-003_S1_L001_2	17606146.0	45292817.0
104974-001-004_S1_L001_1	2878066.0	66747388.0
104974-001-004_S1_L001_2	6279567.0	63345887.0
104974-001-005_S1_L001_1	1635506.0	61342051.0
104974-001-005_S1_L001_2	20864064.0	42113493.0
104974-001-006_S1_L001_1	3171824.0	60195284.0
104974-001-006_S1_L001_2	5994501.0	57372607.0
104974-001-007_S1_L001_1	18271170.0	60308592.0
104974-001-007_S1_L001_2	25618326.0	52961436.0
104974-001-008_S1_L001_1	10932618.0	43764838.0
104974-001-008_S1_L001_2	14444170.0	40253286.0
104974-001-009_S1_L001_1	4056185.0	66997890.0
104974-001-009_S1_L001_2	7153351.0	63900724.0
104974-001-010_S1_L001_1	4329871.0	63300643.0
104974-001-010_S1_L001_2	9580363.0	58050151.0
104974-001-011_S1_L001_1	2606832.0	68261165.0
104974-001-011_S1_L001_2	7854378.0	63013619.0
104974-001-012_S1_L001_1	6729421.0	39015596.0
104974-001-012_S1_L001_2	7469901.0	38275116.0
104974-001-013_S1_L001_1	7142570.0	64510105.0
104974-001-013_S1_L001_2	8290652.0	63362023.0
104974-001-014_S1_L001_1	2459801.0	53099183.0
104974-001-014_S1_L001_2	2748195.0	52810789.0
104974-001-015_S1_L001_1	5367817.0	81928535.0
104974-001-015_S1_L001_2	6094291.0	81202061.0
104974-001-016_S1_L001_1	2917889.0	102017787.0
104974-001-016_S1_L001_2	3538847.0	101396829.0
