Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
104974-001-001_S1_L001	15618916.0	33211.0	479306.0	38176890.0	184555.0
104974-001-002_S1_L001	16518294.0	31600.0	729324.0	63941742.0	231809.0
104974-001-003_S1_L001	4122098.0	13067.0	239024.0	33707278.0	148172.0
104974-001-004_S1_L001	6179658.0	17224.0	89076.0	16967648.0	78482.0
104974-001-005_S1_L001	2138998.0	4974.0	178380.0	33892044.0	108781.0
104974-001-006_S1_L001	6892976.0	16016.0	100146.0	16367856.0	62304.0
104974-001-007_S1_L001	40709092.0	89184.0	1132410.0	72147906.0	233666.0
104974-001-008_S1_L001	24472210.0	37422.0	678126.0	49684760.0	114561.0
104974-001-009_S1_L001	8631574.0	17391.0	930002.0	87962588.0	252125.0
104974-001-010_S1_L001	8879094.0	17370.0	940150.0	92280676.0	274793.0
104974-001-011_S1_L001	4293034.0	7440.0	685264.0	79445576.0	209153.0
104974-001-012_S1_L001	24002338.0	1275.0	670120.0	57469652.0	11176.0
104974-001-013_S1_L001	27073730.0	1233.0	1135930.0	97855348.0	14250.0
104974-001-014_S1_L001	7949504.0	487.0	880968.0	88837926.0	9095.0
104974-001-015_S1_L001	16757292.0	976.0	1311476.0	137612374.0	20237.0
104974-001-016_S1_L001	8730080.0	372.0	1759976.0	180802238.0	19260.0
