Sample	Exonic	Intronic	Intergenic
104974-001-001_S1_L001	34947346.0	9843178.0	3234794.0
104974-001-002_S1_L001	51529808.0	14764636.0	5523718.0
104974-001-003_S1_L001	20231480.0	7502514.0	7256447.0
104974-001-004_S1_L001	12068644.0	4180428.0	5425585.0
104974-001-005_S1_L001	18885167.0	5764235.0	9449223.0
104974-001-006_S1_L001	13774117.0	4662633.0	2292930.0
104974-001-007_S1_L001	33137130.0	38655466.0	8239795.0
104974-001-008_S1_L001	22490062.0	17905841.0	5226749.0
104974-001-009_S1_L001	26533304.0	7140362.0	4976636.0
104974-001-010_S1_L001	28525736.0	6712903.0	5986138.0
104974-001-011_S1_L001	24979859.0	3779088.0	4294418.0
104974-001-012_S1_L001	34589774.0	17707593.0	1609699.0
104974-001-013_S1_L001	53685405.0	24326769.0	2699602.0
104974-001-014_S1_L001	37013404.0	18157306.0	1781633.0
104974-001-015_S1_L001	56682167.0	26400479.0	5290660.0
104974-001-016_S1_L001	72227578.0	33362413.0	3468837.0
