Sample	Sense	Antisense	Undetermined
104974-001-001_S1_L001	93.01	6.890000000000001	0.1
104974-001-002_S1_L001	94.08999999999999	5.83	0.08
104974-001-003_S1_L001	93.91000000000001	6.01	0.06999999999999999
104974-001-004_S1_L001	94.14	5.779999999999999	0.06999999999999999
104974-001-005_S1_L001	93.88	6.05	0.08
104974-001-006_S1_L001	93.51	6.41	0.06999999999999999
104974-001-007_S1_L001	95.19	4.79	0.02
104974-001-008_S1_L001	95.3	4.68	0.02
104974-001-009_S1_L001	93.73	6.239999999999999	0.03
104974-001-010_S1_L001	94.15	5.800000000000001	0.05
104974-001-011_S1_L001	95.27	4.71	0.02
104974-001-012_S1_L001	5.64	94.28999999999999	0.06999999999999999
104974-001-013_S1_L001	6.17	93.76	0.06999999999999999
104974-001-014_S1_L001	5.56	94.38	0.06
104974-001-015_S1_L001	4.14	95.77	0.09
104974-001-016_S1_L001	5.27	94.65	0.08
