Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
104974-001-001_S1_L001	6062208.0	47090.0	46007.0
104974-001-002_S1_L001	6403675.0	58854.0	60078.0
104974-001-003_S1_L001	1331812.0	15842.0	36612.0
104974-001-004_S1_L001	1634124.0	17936.0	52937.0
104974-001-005_S1_L001	588591.0	7634.0	25307.0
104974-001-006_S1_L001	2366728.0	17728.0	18336.0
104974-001-007_S1_L001	6653695.0	87957.0	83645.0
104974-001-008_S1_L001	4804143.0	71872.0	63954.0
104974-001-009_S1_L001	2163058.0	49218.0	54005.0
104974-001-010_S1_L001	1837407.0	31934.0	49541.0
104974-001-011_S1_L001	1238971.0	29504.0	34281.0
104974-001-012_S1_L001	8500997.0	68916.0	81656.0
104974-001-013_S1_L001	8938018.0	82215.0	129911.0
104974-001-014_S1_L001	2309259.0	27119.0	102244.0
104974-001-015_S1_L001	4227108.0	47264.0	157399.0
104974-001-016_S1_L001	2167667.0	27640.0	151599.0
