Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
104974-001-001_S1_L001	136493.0	20210.0	16147.0
104974-001-002_S1_L001	138357.0	23231.0	17955.0
104974-001-003_S1_L001	82723.0	6198.0	6019.0
104974-001-004_S1_L001	98399.0	7958.0	7583.0
104974-001-005_S1_L001	24046.0	1819.0	3267.0
104974-001-006_S1_L001	105015.0	8972.0	6938.0
104974-001-007_S1_L001	163039.0	35488.0	39401.0
104974-001-008_S1_L001	148485.0	28720.0	26474.0
104974-001-009_S1_L001	99073.0	15285.0	14954.0
104974-001-010_S1_L001	102282.0	12441.0	12302.0
104974-001-011_S1_L001	55428.0	9329.0	9227.0
104974-001-012_S1_L001	139448.0	20818.0	25346.0
104974-001-013_S1_L001	140571.0	23310.0	36165.0
104974-001-014_S1_L001	91023.0	7550.0	27672.0
104974-001-015_S1_L001	121082.0	13810.0	32909.0
104974-001-016_S1_L001	43751.0	4406.0	33358.0
