Sample	CDS_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
104974-001-001_S1_L001	20860256.0	1256631.0	18131.0	21446.0	12221.0	51488.0	59214.0	29779.0	752687.0
104974-001-002_S1_L001	21925354.0	1272041.0	22968.0	22166.0	11119.0	56717.0	54960.0	28584.0	1015872.0
104974-001-003_S1_L001	4585838.0	341458.0	14593.0	7103.0	2632.0	24142.0	8151.0	7558.0	824775.0
104974-001-004_S1_L001	6408541.0	449532.0	21921.0	11217.0	4520.0	38336.0	12226.0	9566.0	1347093.0
104974-001-005_S1_L001	2122114.0	125458.0	9978.0	3394.0	938.0	16527.0	1699.0	4056.0	623277.0
104974-001-006_S1_L001	8249366.0	842196.0	10989.0	21930.0	19867.0	26611.0	38947.0	27433.0	557750.0
104974-001-007_S1_L001	26403421.0	18832665.0	134960.0	177468.0	159074.0	231224.0	434285.0	288718.0	2902617.0
104974-001-008_S1_L001	18564587.0	9136929.0	96529.0	114674.0	99807.0	137186.0	238907.0	164000.0	2119946.0
104974-001-009_S1_L001	8279442.0	1603137.0	39560.0	30407.0	19832.0	43878.0	40355.0	33039.0	1269086.0
104974-001-010_S1_L001	8137214.0	1463199.0	37896.0	25029.0	12865.0	46286.0	34039.0	24797.0	1466143.0
104974-001-011_S1_L001	4779645.0	282968.0	16548.0	9559.0	2399.0	19579.0	5104.0	5222.0	706211.0
104974-001-012_S1_L001	31431325.0	1636633.0	25883.0	29749.0	13328.0	70030.0	112687.0	100131.0	849373.0
104974-001-013_S1_L001	34586483.0	1776996.0	32852.0	32933.0	14168.0	81043.0	113289.0	99713.0	1174626.0
104974-001-014_S1_L001	9324255.0	502266.0	16121.0	9705.0	2602.0	34974.0	45201.0	69937.0	880916.0
104974-001-015_S1_L001	18246149.0	1007579.0	41051.0	21976.0	6019.0	85125.0	70053.0	95713.0	2469285.0
104974-001-016_S1_L001	9609798.0	287511.0	24278.0	11112.0	1329.0	49009.0	53040.0	98339.0	1415975.0
