Sample	NC_011902.2	NC_011903.2	NC_011904.2	NC_011905.2	NC_011906.2	NC_011907.2	NC_011908.2	NC_011909.2	NC_011910.2	NC_011911.2	NC_011912.2	NC_011913.2	NC_011914.2	NC_011915.2	NC_000001.11	NC_000002.12	NC_000003.12	NC_000004.12	NC_000005.10	NC_000006.12	NC_000007.14	NC_000008.11	NC_000009.12	NC_000010.11	NC_000011.10	NC_000012.12	NC_000013.11	NC_000014.9	NC_000015.10	NC_000016.10	NC_000017.11	NC_000018.10	NC_000019.10	NC_000020.11	NC_000021.9	NC_000022.11	NT_187388.1	NC_000023.11	NT_167214.1	NW_021160023.1	NT_187605.1	NT_113891.3	NT_167245.2	NT_167246.2	NT_167247.2	NT_167248.2	NT_167249.2	NC_012920.1
104974-001-001_S1_L001	0.0016338135577956953	0.0010773970796444756	0.0019298934859047943	0.0024424690488849634	0.0015435692157117992	0.0020491308179815693	0.002497526444022956	0.004094835191691253	0.0043010368508224275	0.0029062983170740743	0.00703308436945445	0.005573770539812867	0.0055372071579885135	0.005339278751052277	0.08923371673878062	0.040384657905414616	0.03182619083215299	0.019250496065665902	0.028954610888449177	0.05425888719340096	0.029859250747923963	0.023484951539974378	0.024383573157587005	0.0221787148403255	0.0429195677350193	0.043650835371506366	0.016639823746049522	0.01720701741644052	0.028967643091021737	0.032442657942607644	0.04200076816780557	0.00674413554544966	0.059990742743296216	0.015849135123001297	0.015692221546858016	0.014864837755667288	0.006035418012290392	0.02173260351046537	0.005890643420341101	0.005941527582071028	0.008211693341437704	0.013771025957951086	0.01305814983430799	0.009047818958399014	0.012169148617920273	0.013191239372714696	0.010360893903667423	0.06378509048668247
104974-001-002_S1_L001	0.0024359187434545345	0.0016310895618460604	0.002736578977313138	0.0037103931601121633	0.0023176964586532124	0.0029829306055547855	0.0037115036858593083	0.005979655109863581	0.0063029544826376654	0.0043333201726290845	0.008802192676587306	0.00821038960935221	0.00785995054595053	0.00806971327325993	0.08975997749178623	0.038478402042291915	0.029686661945763266	0.018311342147225497	0.026167230506890418	0.052607747762117706	0.02825521374060131	0.022858341111640753	0.02271831745296127	0.02176757103305031	0.04050182866085957	0.04080743755331072	0.016367025875961033	0.015933618849502923	0.02934624683844766	0.03200207890419866	0.03990635306549576	0.006522702200217447	0.05857841151001099	0.015090232993269892	0.01950011125227452	0.013737671081970916	0.008360651536104054	0.020241484603032975	0.008097603055839543	0.008226014901443616	0.0098977847748693	0.013324594469848695	0.01286132014566474	0.008881390696975798	0.011768007547600568	0.012789739942243503	0.010220373021507056	0.06437136191399931
104974-001-003_S1_L001	0.011282150574905626	0.007916756132149063	0.013017140334347286	0.017247561894535614	0.011335589639696223	0.013926390625543236	0.016910133619063808	0.028912630557728254	0.029893249407868083	0.021626791704614883	0.03749271245773575	0.04052369235241777	0.0373266517104257	0.03856173397819529	0.051722004525308236	0.03124246022185576	0.01931497888905797	0.011227859804546238	0.01544432649656898	0.029671085286039418	0.016043031834220883	0.020651566989744068	0.016583952224820918	0.013065993292229003	0.028352142777650337	0.03005869867425695	0.017967012875516986	0.009502195129152633	0.015883238766352965	0.05200450871089514	0.039249125888023165	0.0038411484380418705	0.06984828634218927	0.012554882596536678	0.018609286228803232	0.009627155623117403	0.009173393102390385	0.01335273416705554	0.008797965655387872	0.008953063423325271	0.003792710413642384	0.005694175853876326	0.005462009651265442	0.00360448348293942	0.005022136482891026	0.005443228451543369	0.004251539490573497	0.03148257567644203
104974-001-004_S1_L001	0.01731331582275621	0.011534464460981135	0.016202445851073378	0.02305600240823529	0.015023002749591001	0.020829990454635062	0.025531853305208282	0.036768160913956814	0.039279108584667176	0.027201583236455065	0.04502466772875224	0.05492295226989765	0.04925690407491957	0.05458428497578562	0.04726014439468248	0.026553342511035322	0.016820119606711374	0.010092440040771181	0.014999543520975368	0.024679403125041778	0.01638271731743684	0.016477880028179064	0.014017459926794686	0.013199590932923437	0.024446983671677157	0.025283782090208432	0.01096455619908643	0.009813912339012885	0.012858051080205409	0.046072967481568576	0.02951373512056073	0.00388020060623508	0.047917444728013445	0.01085341027763905	0.015384061269760026	0.009027641489807591	0.007188467428481485	0.011984240848866111	0.006941795665110194	0.007037842240038878	0.002412175847873421	0.0052484223668755985	0.0049037153341560885	0.0035658764049251415	0.004518497859557148	0.0050229265163049186	0.003991383355356896	0.022393546200483304
104974-001-005_S1_L001	0.017411182048827953	0.011362958703069859	0.018671481483012245	0.024291307410396767	0.01691297136794199	0.02057327883206852	0.025204122902989443	0.04359611516118043	0.04503708829570971	0.03264792659215746	0.057994817144635204	0.06282681126860688	0.05657160435293722	0.05776353119071644	0.026615172693945248	0.023191417881146228	0.009902879029510628	0.005030735194351172	0.006408956692041678	0.012729560401993079	0.006957260042003683	0.018911931018072686	0.010966043381762939	0.007200094942258221	0.016335807460879124	0.022722658194290358	0.019995477253122083	0.004169334949556021	0.006521257795981604	0.05086907002050588	0.03880710484565683	0.0014924356172811442	0.08532267082964064	0.010801901915436443	0.020857893049435514	0.006306031726537955	0.011527501666508233	0.00815372143539941	0.010998493795393529	0.011263741681481714	0.00032771611320092984	0.0012952769178719945	0.0014738958977032594	0.0007741336666546611	0.0012290535118893331	0.0012961507645272577	0.0011397558307122853	0.030025772571960978
104974-001-006_S1_L001	0.0017141643313363939	0.0011715946603555211	0.0021973480943048218	0.0026935627030922477	0.001645778452478295	0.0021040819871629836	0.0025612388074156005	0.004197600301982033	0.004520869525059724	0.0030210365457542013	0.009094209922617278	0.005764324956491743	0.0060142392048390236	0.005590337103116488	0.0894753819697086	0.044951865966735345	0.03489205299446926	0.02466082358906953	0.03415853799608734	0.05583018980104539	0.03409887409669742	0.025687028759007226	0.025888155520608178	0.024621348813468516	0.04251704373822511	0.04441457813192644	0.01900276083661644	0.019751217871537476	0.0282652597893708	0.030409233539201008	0.042657776873070284	0.009045735176170607	0.05714418554451092	0.01682831228203087	0.007711724053527101	0.015626416561530906	0.00041038477099296193	0.025318585937090344	0.00047119538481495035	0.0007020672238054024	0.008354787607464083	0.012500507768625414	0.01146794354592805	0.008354752858541899	0.011394484324431088	0.01190598845897947	0.010179557758112127	0.04753722052614664
104974-001-007_S1_L001	0.0006728870944152681	0.00045093152754682725	0.14493193835272392	0.0009967801684350477	0.0005178480924525094	0.0006951405273907349	0.0009500392777432739	0.0013116098156564968	0.001753674695786311	0.1440054431491924	0.0022169222975520703	0.0021303972460609832	0.004487750570327417	0.002063208662598774	0.048655148937973	0.035759981937967845	0.028403784113803766	0.01852857870362091	0.024724403241928733	0.029530629665660835	0.02305025056671015	0.017667854114480342	0.019710916041009517	0.01892740420852063	0.0270160496157217	0.024158355776311154	0.010419491391278263	0.02635166454810512	0.01509627170787661	0.01674703657486272	0.021744868239709465	0.007318381457177942	0.018194325773937647	0.010384308395424462	0.07054039611573706	0.008026115864972998	0.032658090673971116	0.01206240823352712	0.031138398237829067	0.0343182199244564	0.0014855512134834621	0.0027527062518487855	0.002533355117968371	0.0019593843884383316	0.0024493881984344115	0.002632896546770726	0.0022908476810099736	0.00919620079206016
104974-001-008_S1_L001	0.0008669876020923921	0.0005700240446094218	0.20073222932359033	0.001306950082410219	0.0006790770837438658	0.0008820224571569346	0.0012143246360304478	0.0017515270550748638	0.002369684449854643	0.19931422099537133	0.002721770215916879	0.0027645423649788423	0.00612673699874542	0.002669576112481322	0.03890700832233763	0.02578832539980444	0.022807816403008416	0.013554165150281556	0.01730769390501658	0.023870156441106842	0.01689444514039379	0.013463360330882258	0.01735322635950055	0.013869678966998736	0.020060632919239697	0.018334963801279185	0.007778431609393391	0.030148601168243475	0.011694004555376504	0.012864491514112179	0.017701368832102778	0.005269548900400454	0.016528314537625058	0.008223738510847442	0.06417644664272149	0.006285047646185629	0.03149568055409884	0.009421039865111173	0.02837735764586857	0.031961861740932684	0.0016251486946746384	0.0024886125026112784	0.002316047268812444	0.0017776450817578555	0.002227675545377831	0.00237184067627852	0.0020856246909705936	0.008938926094701682
104974-001-009_S1_L001	0.0014747298016144147	0.0009710372318725723	0.3564278908225482	0.0022469907127265895	0.0011988277458347175	0.0015301394284595862	0.0020304828363173137	0.0031554746267139365	0.0042504070953775985	0.35301970886757117	0.004718084298404623	0.004857270478194996	0.013793754810708814	0.004517484940944894	0.012823447981162034	0.00854651481107461	0.010498903980835193	0.004467924470936341	0.004436802205981295	0.005889744640658089	0.004603238924576993	0.005738414779922653	0.009816120323747565	0.004205258730475247	0.005808782808870813	0.005859400283871161	0.0026486585478390366	0.02758800249453178	0.0032463592413174464	0.004526404162841951	0.0072968617521793604	0.0015107570447898146	0.0072843795921077115	0.0030714367916359316	0.03493589739783186	0.0020718069809122714	0.01834439882959856	0.0032203557308732277	0.01626264531294889	0.01878196326682001	0.00023378218832574804	0.0004411689430080723	0.0004198269433422759	0.0003154981753599785	0.000405711769940607	0.0004245715893447721	0.00037097906096864177	0.0014424852111343718
104974-001-010_S1_L001	0.002357207204885514	0.0015605660708744003	0.37452587227148243	0.003248501116268326	0.0018417797555777648	0.0025048114535858395	0.0034007279290305136	0.004341038354084293	0.006038825239135062	0.37264235654063116	0.006699903903827	0.007283346605099969	0.014093562222058225	0.007056066686588377	0.011264847704657726	0.007126664796223162	0.006387112328376042	0.003476954010410615	0.0037988520370634414	0.004843320386841122	0.004198438030980933	0.004923053838703162	0.005893601610926595	0.003785163469235253	0.004909746632410077	0.005307420040446973	0.0019354617944964724	0.012273277389368117	0.0026516760920362674	0.004956474976870423	0.006041304089113235	0.0012560142158637108	0.006129895529358817	0.0026517858779327367	0.028217506246413036	0.0020032921438992175	0.015604666857470702	0.0028738596336696566	0.013074668207952793	0.015215874550637658	0.0001714277882341461	0.0004530575037030783	0.0004226641449963367	0.00032525516380275325	0.00040166036954025205	0.0004348792705298066	0.00036764407625002624	0.001880430169340007
