Sample	NC_011902.2	NC_011903.2	NC_011904.2	NC_011905.2	NC_011906.2	NC_011907.2	NC_011908.2	NC_011909.2	NC_011910.2	NC_011911.2	NC_011912.2	NC_011913.2	NC_011914.2	NC_011915.2	NC_000001.11	NC_000002.12	NC_000003.12	NC_000004.12	NC_000005.10	NC_000006.12	NC_000007.14	NC_000008.11	NC_000009.12	NC_000010.11	NC_000011.10	NC_000012.12	NC_000013.11	NC_000014.9	NC_000015.10	NC_000016.10	NC_000017.11	NC_000018.10	NC_000019.10	NC_000020.11	NC_000021.9	NC_000022.11	NT_187388.1	NC_000023.11	NT_167214.1	NW_021160023.1	NT_187605.1	NT_113891.3	NT_167245.2	NT_167246.2	NT_167247.2	NT_167248.2	NT_167249.2	NC_012920.1
104974-001-001_S1_L001	111577	73578	131797	166802	105414	139940	170562	279646	293728	198478	480306	380646	378149	364632	6093982	2757964	2173486	1314662	1977379	3705468	2039159	1603843	1665212	1514637	2931079	2981019	1136373	1175108	1978269	2215586	2868332	460573	4096910	1082375	1071659	1015155	412173	1484171	402286	405761	560796	940456	891772	617897	831060	900861	707570	4356035
104974-001-002_S1_L001	250057	167438	280921	380887	237921	306210	381001	613836	647024	444833	903581	842830	806856	828389	9214228	3949965	3047457	1879734	2686173	5400400	2900513	2346502	2332128	2234530	4157678	4189050	1680142	1635651	3012512	3285144	4096550	669582	6013313	1549074	2001766	1410228	858255	2077871	831252	844434	1016048	1367824	1320267	911711	1208034	1312919	1049163	6607983
104974-001-003_S1_L001	516615	362512	596061	789774	519062	637696	774323	1323923	1368826	990301	1716809	1855599	1709205	1765760	2368375	1430607	884442	514129	707203	1358653	734618	945645	759387	598298	1298258	1376402	822718	435110	727301	2381311	1797236	175888	3198386	574894	852128	440832	420054	611428	402863	409965	173670	260739	250108	165051	229966	249248	194680	1441602
104974-001-004_S1_L001	470117	313201	439953	626051	407927	565607	693279	998384	1066565	738618	1222577	1491350	1337497	1482154	1283278	721016	456725	274045	407290	670132	444848	447432	380623	358415	663821	686543	297726	266482	349141	1251042	801401	105361	1301126	294708	417731	245132	195192	325414	188494	191102	65499	142513	133153	96826	122693	136390	108380	608063
104974-001-005_S1_L001	737216	481125	790579	1028531	716121	871104	1067181	1845926	1906939	1382363	2455589	2660183	2395328	2445796	1126927	981960	419303	213009	271365	538989	294581	800760	464319	304863	691683	962112	846639	176536	276120	2153874	1643152	63192	3612692	457369	883155	267007	488092	345241	465693	476924	13876	54844	62407	32778	52040	54881	48259	1271337
104974-001-006_S1_L001	49330	33716	63235	77515	47362	60551	73707	120798	130101	86939	261712	165885	173077	160878	2574911	1293619	1004119	709686	983010	1606674	981293	739218	745006	708550	1223550	1278157	546859	568398	813414	875113	1227600	260317	1644488	484283	221927	449695	11810	728615	13560	20204	240433	359738	330023	240432	327909	342629	292946	1368020
104974-001-007_S1_L001	116263	77913	25041678	172226	89475	120108	164150	226623	303004	24881596	383045	368095	775404	356486	8406750	6178693	4907672	3201411	4271940	5102371	3982676	3052693	3405698	3270321	4667896	4174137	1800304	4553102	2608369	2893592	3757129	1264487	3143658	1794225	12188134	1386771	5642741	2084171	5380165	5929582	256677	475619	437719	338547	423211	454918	395818	1588941
104974-001-008_S1_L001	103336	67941	23925216	155775	80939	105128	144735	208764	282442	23756204	324407	329505	730244	318186	4637315	3073703	2718457	1615517	2062899	2845077	2013644	1604694	2068326	1653123	2391021	2185339	927109	3593403	1393805	1533315	2109821	628076	1970005	980185	7649172	749113	3753961	1122891	3382289	3809525	193701	296617	276049	211877	265516	282699	248585	1065428
104974-001-009_S1_L001	248345	163523	60022578	378394	201883	257676	341934	531383	715770	59448639	794527	817966	2322873	760746	2159473	1439236	1768019	752400	747159	991835	775187	966351	1653038	708167	978201	986725	446035	4645829	546688	762248	1228794	254412	1226692	517231	5883217	348893	3089203	542309	2738635	3162889	39369	74293	70699	53130	68322	71498	62473	242915
104974-001-010_S1_L001	407948	270078	64816992	562199	318746	433493	588544	751278	1045104	64491023	1159513	1260486	2439090	1221152	1949541	1233370	1105380	601736	657445	838205	726599	852004	1019971	655076	849701	918524	334959	2124064	458910	857788	1045533	217371	1060865	458929	4883438	346698	2700608	497362	2262756	2633322	29668	78408	73148	56290	69513	75262	63626	325435
