Sample	Mapped (with MQ>0)	MQ0
104974-001-001_S1_L001	53269227.0	1223651.0
104974-001-002_S1_L001	79568285.0	1884484.0
104974-001-003_S1_L001	37646205.0	583434.0
104974-001-004_S1_L001	23042659.0	289429.0
104974-001-005_S1_L001	35868432.0	454745.0
104974-001-006_S1_L001	22999493.0	439805.0
104974-001-007_S1_L001	110456624.0	3855634.0
104974-001-008_S1_L001	72642722.0	2344357.0
104974-001-009_S1_L001	96175567.0	1618113.0
104974-001-010_S1_L001	101067275.0	1324808.0
104974-001-011_S1_L001	83516072.0	1124395.0
104974-001-012_S1_L001	76768848.0	5385713.0
104974-001-013_S1_L001	120918251.0	5162240.0
104974-001-014_S1_L001	93876943.0	3801037.0
104974-001-015_S1_L001	147604240.0	8098115.0
104974-001-016_S1_L001	182357266.0	8954660.0
