Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
104974-001-001_S1_L001	24306612.0	3048710.0	12801.0	3134750.0	85632.0
104974-001-002_S1_L001	36303873.0	4554216.0	16995.0	3920678.0	103294.0
104974-001-003_S1_L001	17629332.0	1566107.0	13844.0	2631199.0	100863.0
104974-001-004_S1_L001	10914003.0	799894.0	7589.0	2046012.0	92875.0
104974-001-005_S1_L001	17127474.0	1090992.0	16755.0	2361833.0	76522.0
104974-001-006_S1_L001	10479181.0	1279628.0	11906.0	2366843.0	96780.0
104974-001-007_S1_L001	40815204.0	16502350.0	32496.0	5794681.0	208989.0
104974-001-008_S1_L001	23475952.0	14093579.0	18681.0	3434492.0	135897.0
104974-001-009_S1_L001	20250706.0	28780892.0	10232.0	4388319.0	107032.0
104974-001-010_S1_L001	21286440.0	30055683.0	8037.0	3440545.0	82310.0
104974-001-011_S1_L001	17445514.0	24983016.0	9928.0	3376478.0	68814.0
104974-001-012_S1_L001	27088038.0	13995468.0	4324.0	3569363.0	8923.0
104974-001-013_S1_L001	40513684.0	22534303.0	5641.0	6268552.0	6934.0
104974-001-014_S1_L001	28507742.0	20336039.0	1262.0	2677201.0	5158.0
104974-001-015_S1_L001	44259846.0	33601938.0	3916.0	4247808.0	8216.0
104974-001-016_S1_L001	54573083.0	41092696.0	1460.0	5380392.0	10114.0
