Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
104974-001-001_S1_L001_1	104974-001-001_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30588505.0	0.0	20-151	49.0	18.534182628409564	144.64505068162043	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
104974-001-001_S1_L001_2	104974-001-001_S1_L001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30588505.0	0.0	20-151	49.0	33.4150089123495	144.6579471602159	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
104974-001-002_S1_L001_1	104974-001-002_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44899056.0	0.0	20-151	49.0	14.143645970415603	144.55835218450918	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
104974-001-002_S1_L001_2	104974-001-002_S1_L001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44899056.0	0.0	20-151	48.0	24.626583840304292	144.68106271543883	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
104974-001-003_S1_L001_1	104974-001-003_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21941345.0	0.0	20-151	47.0	10.778386894077089	142.96802898819558	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
104974-001-003_S1_L001_2	104974-001-003_S1_L001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21941345.0	0.0	20-151	48.0	21.132515879812466	143.18955989252254	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
104974-001-004_S1_L001_1	104974-001-004_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13860373.0	0.0	20-151	46.0	20.795520954171334	143.37152614868302	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
104974-001-004_S1_L001_2	104974-001-004_S1_L001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13860373.0	0.0	20-151	48.0	32.52202512767166	143.4337925826383	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
104974-001-005_S1_L001_1	104974-001-005_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20673576.0	0.0	20-151	46.0	7.7206655310008765	142.56103859341994	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
104974-001-005_S1_L001_2	104974-001-005_S1_L001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20673576.0	0.0	20-151	47.0	18.912210457792796	142.66352865125995	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
104974-001-006_S1_L001_1	104974-001-006_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14234338.0	0.0	20-151	49.0	22.698842931005156	142.18375058959538	151	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
104974-001-006_S1_L001_2	104974-001-006_S1_L001_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14234338.0	0.0	20-151	50.0	30.96019184090827	142.14220436524693	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
104974-001-007_S1_L001_1	104974-001-007_S1_L001_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	63353720.0	0.0	20-151	45.0	29.411539140342335	142.68699602801541	151	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
