Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
104974-001-001_S1_L001	1.09995515082922	0.712767	1.27	27137556.0	20.36155722813544	0.003906231	13799492.0	54492878.0	100.0	99.6003771355222	2.2455246353477607	54492878.0	68292370	68292370	100.0	79.46	24306612.0													
104974-001-001_S1_L001_1																		90.83427476051864	62.0	151.0	151	45.45454545454545	62706972.0	53.181861605795866	81.46581737159043	49.0	144.64505068162043	151	18.181818181818183	30588505.0
104974-001-001_S1_L001_2																		77.163448931718	74.0	151.0	151	45.45454545454545	62706972.0	2.289289436735544	66.58499108765051	49.0	144.6579471602159	151	36.36363636363637	30588505.0
104974-001-002_S1_L001	1.61946755662527	0.796816	1.41	40594680.0	14.33452217062856	0.003893445	21201312.0	81452769.0	100.0	99.67661136234669	2.3135910824590873	81452769.0	102654081	102654081	100.0	80.86	36303873.0													
104974-001-002_S1_L001_1																		90.5279927089446	57.0	151.0	151	45.45454545454545	64669874.0	33.43858412116752	85.8563540295844	49.0	144.55835218450918	151	18.181818181818183	44899056.0
104974-001-002_S1_L001_2																		81.84165276355493	64.0	151.0	151	45.45454545454545	64669874.0	3.151571356340609	75.37341615969571	48.0	144.68106271543883	151	36.36363636363637	44899056.0
104974-001-003_S1_L001	3.28323906367762	0.891834	1.29	19034200.0	8.233297966441578	0.004051013	7560833.0	38229639.0	100.0	99.57823561975042	1.5261300270190885	38229639.0	45790472	45790472	100.0	80.35	17629332.0													
104974-001-003_S1_L001_1																		96.13486576461452	66.0	151.0	151	45.45454545454545	62898963.0	66.9295022994532	89.22161310592291	47.0	142.96802898819558	151	27.27272727272727	21941345.0
104974-001-003_S1_L001_2																		72.00884611888763	80.0	151.0	151	54.54545454545454	62898963.0	1.9922370059082581	78.86748412018753	48.0	143.18955989252254	151	36.36363636363637	21941345.0
104974-001-004_S1_L001	1.69778035663584	0.734405	1.17	11618191.0	21.316623979095432	0.004252233	3821405.0	23332088.0	100.0	99.58980953612038	1.2404762059872223	23332088.0	27153493	27153493	100.0	78.74	10914003.0													
