Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
104974-001-001_S1_L001	Unknown Library	217766.0	27137556.0	13799492.0	0.0	184555.0	19328098.0	239653.0	0.712767	8102467.0
104974-001-002_S1_L001	Unknown Library	263409.0	40594680.0	21201312.0	0.0	231809.0	32335533.0	364662.0	0.796816	8325496.0
104974-001-003_S1_L001	Unknown Library	161239.0	19034200.0	7560833.0	0.0	148172.0	16973151.0	119512.0	0.891834	2061262.0
104974-001-004_S1_L001	Unknown Library	95706.0	11618191.0	3821405.0	0.0	78482.0	8528362.0	44538.0	0.734405	3172433.0
104974-001-005_S1_L001	Unknown Library	113755.0	18104711.0	6018348.0	0.0	108781.0	17035212.0	89190.0	0.940975	1069499.0
104974-001-006_S1_L001	Unknown Library	78320.0	11680489.0	5338573.0	0.0	62304.0	8234001.0	50073.0	0.705239	3586562.0
104974-001-007_S1_L001	Unknown Library	322850.0	56994704.0	58470072.0	0.0	233666.0	36640158.0	566205.0	0.643098	22064664.0
104974-001-008_S1_L001	Unknown Library	151983.0	37417548.0	44202630.0	0.0	114561.0	25181443.0	339063.0	0.673149	12982564.0
104974-001-009_S1_L001	Unknown Library	269516.0	48762082.0	70606660.0	0.0	252125.0	44446295.0	465001.0	0.911559	4315846.0
104974-001-010_S1_L001	Unknown Library	292163.0	51049960.0	70672041.0	0.0	274793.0	46610413.0	470075.0	0.913114	4439597.0
104974-001-011_S1_L001	Unknown Library	216593.0	42211937.0	59435851.0	0.0	209153.0	40065420.0	342632.0	0.949191	2146517.0
104974-001-012_S1_L001	Unknown Library	12451.0	41071055.0	85278842.0	0.0	11176.0	29069886.0	335060.0	0.707824	12477962.0
104974-001-013_S1_L001	Unknown Library	15483.0	63032504.0	116047793.0	0.0	14250.0	49495639.0	567965.0	0.785257	13679058.0
104974-001-014_S1_L001	Unknown Library	9582.0	48834199.0	103754243.0	0.0	9095.0	44859447.0	440484.0	0.91861	3974772.0
104974-001-015_S1_L001	Unknown Library	21213.0	77840571.0	182119363.0	0.0	20237.0	69461925.0	655738.0	0.89237	8379483.0
104974-001-016_S1_L001	Unknown Library	19632.0	95646147.0	218678027.0	0.0	19260.0	91281107.0	879988.0	0.954365	4365040.0
