Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
104974-001-001_S1_L001	68292370	0	38840751	13799492	0	1717381	13934746	6973945	6960801	6967669	6967077	9018578	4916168	13905390	0	20.404542996530946	20.36155722813544
104974-001-002_S1_L001	102654081	0	64902875	21201312	0	1806925	14742969	7376124	7366845	7371819	7371150	9520094	5222875	14714972	0	14.361795319174888	14.33452217062856
104974-001-003_S1_L001	45790472	0	34094474	7560833	0	353275	3781890	1893052	1888838	1891041	1890849	2660713	1121177	3770066	0	8.259119932198995	8.233297966441578
104974-001-004_S1_L001	27153493	0	17135206	3821405	0	392776	5804106	2905068	2899038	2902113	2901993	4418932	1385174	5788208	0	21.37517261591354	21.316623979095432
104974-001-005_S1_L001	42341525	0	34179205	6018348	0	164012	1979960	990552	989408	990106	989854	1472937	507023	1975416	0	4.67616600960877	4.66543422798305
104974-001-006_S1_L001	28777871	0	16530306	5338573	0	742806	6166186	3086202	3079984	3083333	3082853	4237103	1929083	6152020	0	21.426831748602947	21.3776064254371
104974-001-007_S1_L001	172782330	0	73513982	58470072	0	4091833	36706443	18371322	18335121	18354145	18352298	31193197	5513246	36624220	0	21.24432689384383	21.196739273049506
104974-001-008_S1_L001	119189709	0	50477447	44202630	0	2782333	21727299	10869406	10857893	10863899	10863400	17741179	3986120	21692938	0	18.229173627733246	18.20034479654615
104974-001-009_S1_L001	168400340	0	89144715	70606660	0	1354141	7294824	3651227	3643597	3647511	3647313	5464798	1830026	7278794	0	4.331834484419687	4.3223155012632395
104974-001-010_S1_L001	173064124	0	93495619	70672041	0	1305650	7590814	3798614	3792200	3795570	3795244	6040704	1550110	7574630	0	4.3861279995847084	4.376776552487562
104974-001-011_S1_L001	144076318	0	80339993	59435851	0	840966	3459508	1731196	1728312	1729763	1729745	2412011	1047497	3452606	0	2.4011635277908754	2.3963730111426087
104974-001-012_S1_L001	167433403	0	58150948	85278842	0	3698523	20305090	10152826	10152264	10152484	10152606	13115573	7189517	20303976	0	12.127263518618205	12.126598179456462
104974-001-013_S1_L001	242128284	0	99005528	116047793	0	4104184	22970779	11485622	11485157	11485379	11485400	15232165	7738614	22969696	0	9.487028372116988	9.486581088560476
104974-001-014_S1_L001	201432223	0	89727989	103754243	0	1609857	6340134	3170149	3169985	3170065	3170069	4289029	2051105	6339720	0	3.147527195785354	3.1473216675963505
104974-001-015_S1_L001	337821718	0	138944087	182119363	0	2421408	14336860	7168645	7168215	7168418	7168442	10605828	3731032	14335988	0	4.243913057123224	4.243654932806896
104974-001-016_S1_L001	409989953	0	182581474	218678027	0	1914614	6815838	3407985	3407853	3407913	3407925	4842824	1973014	6815526	0	1.6624402500907138	1.6623641506649312
