Sample	pe_sense	pe_antisense	failed
104974-001-001_S1_L001	0.9301	0.0689	0.001
104974-001-002_S1_L001	0.9409	0.0583	0.0008
104974-001-003_S1_L001	0.9391	0.0601	0.0007
104974-001-004_S1_L001	0.9414	0.0578	0.0007
104974-001-005_S1_L001	0.9388	0.0605	0.0008
104974-001-006_S1_L001	0.9351	0.0641	0.0007
104974-001-007_S1_L001	0.9519	0.0479	0.0002
104974-001-008_S1_L001	0.953	0.0468	0.0002
104974-001-009_S1_L001	0.9373	0.0624	0.0003
104974-001-010_S1_L001	0.9415	0.058	0.0005
104974-001-011_S1_L001	0.9527	0.0471	0.0002
104974-001-012_S1_L001	0.0564	0.9429	0.0007
104974-001-013_S1_L001	0.0617	0.9376	0.0007
104974-001-014_S1_L001	0.0556	0.9438	0.0006
104974-001-015_S1_L001	0.0414	0.9577	0.0009
104974-001-016_S1_L001	0.0527	0.9465	0.0008
