Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
104974-001-001_S1_L001	6159626	6062208	47090	46007	172850	136493	20210	16147	98.41844293793162	0.7644944676835899	0.7469122313595014	78.96615562626555	11.692218686722592	9.341625687011861
104974-001-002_S1_L001	6527679	6403675	58854	60078	179543	138357	23231	17955	98.10033550975776	0.9016068345272493	0.9203577565624781	77.0606484240544	12.938961697197884	10.00038987874771
104974-001-003_S1_L001	1385399	1331812	15842	36612	94940	82723	6198	6019	96.13201684135761	1.1434972885067767	2.6427043761400144	87.13187276174426	6.5283336844322735	6.339793553823466
104974-001-004_S1_L001	1706476	1634124	17936	52937	113940	98399	7958	7583	95.76015132940633	1.0510549225421277	3.102123909155476	86.36036510444094	6.984377742671581	6.6552571528874855
104974-001-005_S1_L001	622266	588591	7634	25307	29132	24046	1819	3267	94.58832717840923	1.2268065425396857	4.0669102923830005	82.5415350816971	6.24399286008513	11.214472058217767
104974-001-006_S1_L001	2404224	2366728	17728	18336	120925	105015	8972	6938	98.44041154235212	0.7373688974072299	0.7626577224085609	86.84308455654332	7.419474881124664	5.737440562332024
104974-001-007_S1_L001	6836116	6653695	87957	83645	237928	163039	35488	39401	97.33151105101201	1.2866516600947087	1.2235749071548814	68.52451161695974	14.915436602669715	16.560051780370532
104974-001-008_S1_L001	4946930	4804143	71872	63954	203679	148485	28720	26474	97.1136240051911	1.452860663077909	1.2928017982870184	72.90147732461372	14.10061911144497	12.997903563941298
104974-001-009_S1_L001	2269293	2163058	49218	54005	129312	99073	15285	14954	95.3185860089464	2.168869335074845	2.3798160925010565	76.61547265528334	11.820248700816629	11.564278643900025
104974-001-010_S1_L001	1920949	1837407	31934	49541	127025	102282	12441	12302	95.65100374866797	1.6624074871326622	2.5789856992559406	80.52115725250934	9.794135012792756	9.684707734697893
104974-001-011_S1_L001	1304563	1238971	29504	34281	73984	55428	9329	9227	94.97210943434699	2.261600244679636	2.6277765044693124	74.91890138408304	12.60948313148789	12.471615484429066
104974-001-012_S1_L001	8653701	8500997	68916	81656	185612	139448	20818	25346	98.2353908460669	0.7963760245471851	0.9435962716992418	75.12876322651553	11.215869663599335	13.655367109885136
104974-001-013_S1_L001	9153013	8938018	82215	129911	200046	140571	23310	36165	97.65110133679478	0.8982288127417715	1.4193249807467772	70.26933805224799	11.652319966407726	18.07834198134429
104974-001-014_S1_L001	2440326	2309259	27119	102244	126245	91023	7550	27672	94.6291192242348	1.111285951139315	4.189768088361965	72.1002811992554	5.980434868707672	21.91928393203691
104974-001-015_S1_L001	4434235	4227108	47264	157399	167801	121082	13810	32909	95.32891242796107	1.0658884790724894	3.549631447138007	72.15809202567327	8.229986710448687	19.611921263878045
104974-001-016_S1_L001	2349425	2167667	27640	151599	81515	43751	4406	33358	92.26372410270598	1.1764580695276503	6.452600104280835	53.672330245967004	5.405140158253082	40.92252959577991
