Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
104974-001-001_S1_L001	15652127	23061853	22309166	179334717	20860256	116.32	0	0	0.0	0	0	0.0	1599150312	1256631	0.79	35493285	18131	0.51	0.27	0.2	38000450	51488	1.35	0.71	0.52	752687	90.45351212671419	0.0	0.0	5.448959370263959	0.07861900776143184	0.17161240252463666	0.22460467508833742	0.2232604639358338	0.48002213872406524	0.6091487964995701	3.263775031433944	110693755	110142252	12221	21446	112705457	118076565	29779	59214
104974-001-002_S1_L001	16549894	24409781	23393909	179334717	21925354	122.26	0	0	0.0	0	0	0.0	1599150312	1272041	0.8	35493285	22968	0.65	0.31	0.22	38000450	56717	1.49	0.72	0.52	1015872	89.82200209006382	0.0	0.0	5.211193824311656	0.09409342918725899	0.18490129018363582	0.2304527025457541	0.23235357990307245	0.45750922550267864	0.5746098254629979	4.161741557615777	110693755	110142252	11119	22166	112705457	118076565	28584	54960
104974-001-003_S1_L001	4135165	5816250	4991475	179334717	4585838	25.57	0	0	0.0	0	0	0.0	1599150312	341458	0.21	35493285	14593	0.41	0.15	0.09	38000450	24142	0.64	0.21	0.15	824775	78.84526971846121	0.0	0.0	5.870758650333118	0.25090049430474964	0.3730238555770471	0.4182763808295723	0.4150784440146142	0.5552202879862455	0.6851665592091124	14.180528691166987	110693755	110142252	2632	7103	112705457	118076565	7558	8151
104974-001-004_S1_L001	6196882	8302952	6955859	179334717	6408541	35.74	0	0	0.0	0	0	0.0	1599150312	449532	0.28	35493285	21921	0.62	0.23	0.15	38000450	38336	1.01	0.32	0.22	1347093	77.18388592394608	0.0	0.0	5.414122591579477	0.26401453362611277	0.3991110631495882	0.45354953274449855	0.4617153031837351	0.6089641370924462	0.7241761725227366	16.224265779207204	110693755	110142252	4520	11217	112705457	118076565	9566	12226
104974-001-005_S1_L001	2143972	2907441	2284164	179334717	2122114	11.83	0	0	0.0	0	0	0.0	1599150312	125458	0.08	35493285	9978	0.28	0.09	0.06	38000450	16527	0.43	0.12	0.08	623277	72.98906495437053	0.0	0.0	4.315066066688885	0.3431883914411333	0.4599233484015669	0.49218539602351347	0.5684380181747454	0.6268742856690815	0.7663784063029998	21.437305176614075	110693755	110142252	938	3394	112705457	118076565	4056	1699
104974-001-006_S1_L001	6908992	9795089	9237339	179334717	8249366	46.0	0	0	0.0	0	0	0.0	1599150312	842196	0.53	35493285	10989	0.31	0.23	0.21	38000450	26611	0.7	0.42	0.35	557750	84.21940831778048	0.0	0.0	8.598145458402676	0.1121888734242231	0.33607657878351077	0.538902709306674	0.27167695974993183	0.6692945822135971	0.949363502465368	5.694180012044812	110693755	110142252	19867	21930	112705457	118076565	27433	38947
104974-001-007_S1_L001	40798276	49564432	46661815	179334717	26403421	147.23	0	0	0.0	0	0	0.0	1599150312	18832665	11.78	35493285	134960	3.8	2.15	1.84	38000450	231224	6.08	4.26	3.55	2902617	53.27090402246514	0.0	0.0	37.99632970675423	0.27229203393272017	0.6303471812205979	0.951291038702915	0.4665119535718678	1.3427148726328588	1.9252253309389282	5.856249901138785	110693755	110142252	159074	177468	112705457	118076565	288718	434285
104974-001-008_S1_L001	24509632	30672565	28552619	179334717	18564587	103.52	0	0	0.0	0	0	0.0	1599150312	9136929	5.71	35493285	96529	2.72	1.45	1.21	38000450	137186	3.61	2.41	2.01	2119946	60.52505553415568	0.0	0.0	29.788604246172433	0.3147079482919019	0.6885729967480712	1.0139680199552923	0.4472596276183619	1.2261543825891312	1.760834152605105	6.911538047111482	110693755	110142252	99807	114674	112705457	118076565	164000	238907
104974-001-009_S1_L001	8648965	11358736	10089650	179334717	8279442	46.17	0	0	0.0	0	0	0.0	1599150312	1603137	1.0	35493285	39560	1.11	0.48	0.35	38000450	43878	1.15	0.54	0.44	1269086	72.89052232572357	0.0	0.0	14.113691875574888	0.3482781886998694	0.6159752282296199	0.7905721199964503	0.38629298189516864	0.7415701887956547	1.0324388206575097	11.172774858047585	110693755	110142252	19832	30407	112705457	118076565	33039	40355
104974-001-010_S1_L001	8896464	11247468	9781325	179334717	8137214	45.37	0	0	0.0	0	0	0.0	1599150312	1463199	0.91	35493285	37896	1.07	0.43	0.3	38000450	46286	1.22	0.51	0.39	1466143	72.34707402590521	0.0	0.0	13.009141257392331	0.33692916485737057	0.559459248961633	0.6738405479348775	0.4115237313855883	0.7141607337758151	0.9346281314158884	13.035316037351697	110693755	110142252	12865	25029	112705457	118076565	24797	34039
