Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
104974-001-001_S1_L001	68292370	0	13799492	0	0	0	38840751	0	68292370	0	100.0	nan	54492878	0	27271582	0	27221296	0	54275112	0	99.6	nan	54275112	0	217766	0	0.4	nan	0	0	0	0	68292370
104974-001-002_S1_L001	102654081	0	21201312	0	0	0	64902875	0	102654081	0	100.0	nan	81452769	0	40752916	0	40699853	0	81189360	0	99.68	nan	81189360	0	263409	0	0.32	nan	0	0	0	0	102654081
104974-001-003_S1_L001	45790472	0	7560833	0	0	0	34094474	0	45790472	0	100.0	nan	38229639	0	19117687	0	19111952	0	38068400	0	99.58	nan	38068400	0	161239	0	0.42	nan	0	0	0	0	45790472
104974-001-004_S1_L001	27153493	0	3821405	0	0	0	17135206	0	27153493	0	100.0	nan	23332088	0	11673113	0	11658975	0	23236382	0	99.59	nan	23236382	0	95706	0	0.41	nan	0	0	0	0	27153493
104974-001-005_S1_L001	42341525	0	6018348	0	0	0	34179205	0	42341525	0	100.0	nan	36323177	0	18167648	0	18155529	0	36209422	0	99.69	nan	36209422	0	113755	0	0.31	nan	0	0	0	0	42341525
104974-001-006_S1_L001	28777871	0	5338573	0	0	0	16530306	0	28777871	0	100.0	nan	23439298	0	11730172	0	11709126	0	23360978	0	99.67	nan	23360978	0	78320	0	0.33	nan	0	0	0	0	28777871
104974-001-007_S1_L001	172782330	0	58470072	0	0	0	73513982	0	172782330	0	100.0	nan	114312258	0	57222382	0	57089876	0	113989408	0	99.72	nan	113989408	0	322850	0	0.28	nan	0	0	0	0	172782330
104974-001-008_S1_L001	119189709	0	44202630	0	0	0	50477447	0	119189709	0	100.0	nan	74987079	0	37517464	0	37469615	0	74835096	0	99.8	nan	74835096	0	151983	0	0.2	nan	0	0	0	0	119189709
104974-001-009_S1_L001	168400340	0	70606660	0	0	0	89144715	0	168400340	0	100.0	nan	97793680	0	48971430	0	48822250	0	97524164	0	99.72	nan	97524164	0	269516	0	0.28	nan	0	0	0	0	168400340
104974-001-010_S1_L001	173064124	0	70672041	0	0	0	93495619	0	173064124	0	100.0	nan	102392083	0	51281955	0	51110128	0	102099920	0	99.71	nan	102099920	0	292163	0	0.29	nan	0	0	0	0	173064124
104974-001-011_S1_L001	144076318	0	59435851	0	0	0	80339993	0	144076318	0	100.0	nan	84640467	0	42386839	0	42253628	0	84423874	0	99.74	nan	84423874	0	216593	0	0.26	nan	0	0	0	0	144076318
104974-001-012_S1_L001	167433403	0	85278842	0	0	0	58150948	0	167433403	0	100.0	nan	82154561	0	41079932	0	41074629	0	82142110	0	99.98	nan	82142110	0	12451	0	0.02	nan	0	0	0	0	167433403
104974-001-013_S1_L001	242128284	0	116047793	0	0	0	99005528	0	242128284	0	100.0	nan	126080491	0	63041786	0	63038705	0	126065008	0	99.99	nan	126065008	0	15483	0	0.01	nan	0	0	0	0	242128284
104974-001-014_S1_L001	201432223	0	103754243	0	0	0	89727989	0	201432223	0	100.0	nan	97677980	0	48840524	0	48837456	0	97668398	0	99.99	nan	97668398	0	9582	0	0.01	nan	0	0	0	0	201432223
104974-001-015_S1_L001	337821718	0	182119363	0	0	0	138944087	0	337821718	0	100.0	nan	155702355	0	77854768	0	77847587	0	155681142	0	99.99	nan	155681142	0	21213	0	0.01	nan	0	0	0	0	337821718
104974-001-016_S1_L001	409989953	0	218678027	0	0	0	182581474	0	409989953	0	100.0	nan	191311926	0	95659686	0	95652240	0	191292294	0	99.99	nan	191292294	0	19632	0	0.01	nan	0	0	0	0	409989953
