Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
104974-001-001_S1_L001	54492878.0	0.0	54492878.0	1.0	27271582.0	27221296.0	54492878.0	54275112.0	0.0	54275112.0	54492878.0	38840751.0	1223651.0	0.0	13799492.0	0.0	7945388473.0	3974063360.0	3971325113.0	7945388473.0	7820920026.0	0.0	5685184508.0	30550318.0	0.003906231	145.0	146.0	146.0	151.0	151.0	151.0	35.9	1397.7	2126.6	25448975.0	1688581.0	0.0	0.0	99.6	100.0	99.6003771355222	0.0	99.6003771355222	100.0	71.27674739440262	2.2455246353477607	0.0
104974-001-002_S1_L001	81452769.0	0.0	81452769.0	1.0	40752916.0	40699853.0	81452769.0	81189360.0	0.0	81189360.0	81452769.0	64902875.0	1884484.0	0.0	21201312.0	0.0	11862145369.0	5930946907.0	5931198462.0	11862145369.0	11682463529.0	0.0	9479992726.0	45485034.0	0.003893445	145.0	146.0	146.0	151.0	151.0	151.0	35.8	1409.6	2155.0	37965441.0	2629239.0	0.0	0.0	99.7	100.0	99.67661136234669	0.0	99.67661136234669	100.0	79.68160664986111	2.3135910824590873	0.0
104974-001-003_S1_L001	38229639.0	0.0	38229639.0	1.0	19117687.0	19111952.0	38229639.0	38068400.0	0.0	38068400.0	38229639.0	34094474.0	583434.0	0.0	7560833.0	0.0	5519815213.0	2759177821.0	2760637392.0	5519815213.0	5427722211.0	0.0	4927935991.0	21987777.0	0.004051013	144.0	144.0	144.0	151.0	151.0	151.0	35.8	1131.4	1904.5	17731671.0	1302529.0	0.0	0.0	99.6	100.0	99.57823561975042	0.0	99.57823561975042	100.0	89.18335326158846	1.5261300270190885	0.0
104974-001-004_S1_L001	23332088.0	0.0	23332088.0	1.0	11673113.0	11658975.0	23332088.0	23236382.0	0.0	23236382.0	23332088.0	17135206.0	289429.0	0.0	3821405.0	0.0	3376553906.0	1688809675.0	1687744231.0	3376553906.0	3314786013.0	0.0	2482167343.0	14095241.0	0.004252233	144.0	145.0	145.0	151.0	151.0	151.0	35.8	987.5	1811.3	10829358.0	788833.0	0.0	0.0	99.6	100.0	99.58980953612038	0.0	99.58980953612038	100.0	73.4405167681521	1.2404762059872223	0.0
104974-001-005_S1_L001	36323177.0	0.0	36323177.0	1.0	18167648.0	18155529.0	36323177.0	36209422.0	0.0	36209422.0	36323177.0	34179205.0	454745.0	0.0	6018348.0	0.0	5211901603.0	2606172302.0	2605729301.0	5211901603.0	5117863511.0	0.0	4906918246.0	21574176.0	0.004215465	143.0	143.0	144.0	151.0	151.0	151.0	35.7	881.8	1592.6	16761481.0	1343230.0	0.0	0.0	99.7	100.0	99.68682530165243	0.0	99.68682530165243	100.0	94.09750969745846	1.2519417010246654	0.0
104974-001-006_S1_L001	23439298.0	0.0	23439298.0	1.0	11730172.0	11709126.0	23439298.0	23360978.0	0.0	23360978.0	23439298.0	16530306.0	439805.0	0.0	5338573.0	0.0	3352675299.0	1677245862.0	1675429437.0	3352675299.0	3305270203.0	0.0	2374186746.0	11096865.0	0.003357325	143.0	143.0	143.0	151.0	151.0	151.0	36.0	1195.9	1995.6	10498704.0	1181785.0	0.0	0.0	99.7	100.0	99.66586030008237	0.0	99.66586030008237	100.0	70.52389538287368	1.8763573892016734	0.0
104974-001-007_S1_L001	114312258.0	0.0	114312258.0	1.0	57222382.0	57089876.0	114312258.0	113989408.0	0.0	113989408.0	114312258.0	73513982.0	3855634.0	0.0	58470072.0	0.0	16399613550.0	8197992058.0	8201621492.0	16399613550.0	16125933428.0	0.0	10516471358.0	73291559.0	0.00454495	143.0	143.0	144.0	151.0	151.0	151.0	35.6	719.3	1578.6	50875027.0	6119677.0	0.0	0.0	99.7	100.0	99.71757184605696	0.0	99.71757184605696	100.0	64.30979781713349	3.372896369521456	0.0
104974-001-008_S1_L001	74987079.0	0.0	74987079.0	1.0	37517464.0	37469615.0	74987079.0	74835096.0	0.0	74835096.0	74987079.0	50477447.0	2344357.0	0.0	44202630.0	0.0	10654081685.0	5324502406.0	5329579279.0	10654081685.0	10477550412.0	0.0	7136505729.0	44608702.0	0.004257551	142.0	142.0	142.0	151.0	151.0	151.0	35.7	686.6	1552.5	32294147.0	5123401.0	0.0	0.0	99.8	100.0	99.79732108247609	0.0	99.79732108247609	100.0	67.31485967069074	3.126347940556532	0.0
104974-001-009_S1_L001	97793680.0	0.0	97793680.0	1.0	48971430.0	48822250.0	97793680.0	97524164.0	0.0	97524164.0	97793680.0	89144715.0	1618113.0	0.0	70606660.0	0.0	13639195458.0	6825010713.0	6814184745.0	13639195458.0	13425176574.0	0.0	12426065980.0	49187779.0	0.003663846	139.0	139.0	140.0	151.0	151.0	151.0	35.7	496.8	1270.9	38556642.0	10205440.0	0.0	0.0	99.7	100.0	99.724403458383	0.0	99.724403458383	100.0	91.15590598492663	1.654619194205597	0.0
104974-001-010_S1_L001	102392083.0	0.0	102392083.0	1.0	51281955.0	51110128.0	102392083.0	102099920.0	0.0	102099920.0	102392083.0	93495619.0	1324808.0	0.0	70672041.0	0.0	14457495741.0	7238776948.0	7218718793.0	14457495741.0	14274147428.0	0.0	13194487964.0	50807232.0	0.003559388	141.0	141.0	141.0	151.0	151.0	151.0	35.7	454.4	1153.2	41131551.0	9918409.0	0.0	0.0	99.7	100.0	99.71466250960047	0.0	99.71466250960047	100.0	91.3113751187189	1.293857846411817	0.0
104974-001-011_S1_L001	84640467.0	0.0	84640467.0	1.0	42386839.0	42253628.0	84640467.0	84423874.0	0.0	84423874.0	84640467.0	80339993.0	1124395.0	0.0	59435851.0	0.0	11914022915.0	5962097811.0	5951925104.0	11914022915.0	11730060923.0	0.0	11312883809.0	42346848.0	0.003610113	140.0	141.0	141.0	151.0	151.0	151.0	35.7	552.2	1374.7	34685619.0	7526318.0	0.0	0.0	99.7	100.0	99.74410230983248	0.0	99.74410230983248	100.0	94.91912775008673	1.3284366684791566	0.0
104974-001-012_S1_L001	82154561.0	0.0	82154561.0	1.0	41079932.0	41074629.0	82154561.0	82142110.0	0.0	82142110.0	82154561.0	58150948.0	5385713.0	0.0	85278842.0	0.0	10957973858.0	5479778227.0	5478195631.0	10957973858.0	10796684571.0	0.0	7766364629.0	24210488.0	0.0022424	133.0	133.0	133.0	151.0	151.0	151.0	36.1	580.5	1179.8	28142450.0	12928605.0	0.0	0.0	100.0	100.0	99.98484442026292	0.0	99.98484442026292	100.0	70.78237323914371	6.555586122601276	0.0
