Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
104974-001-001_S1_L001	30588505.0	289.0	24306612.0	79.46	286.74	22724738.0	22347197.0	22546974.0	126474.0	15962.0	35328.0	0.35	0.02	1.77	0.01	1.74	3048710.0	9.97	12801.0	0.04	0.0	10.25	0.28	0	3134750	85632
104974-001-002_S1_L001	44899056.0	289.0	36303873.0	80.86	286.8	33918448.0	33264606.0	33649283.0	190317.0	25789.0	53059.0	0.35	0.02	1.76	0.01	1.67	4554216.0	10.14	16995.0	0.04	0.0	8.73	0.23	0	3920678	103294
104974-001-003_S1_L001	21941345.0	286.0	17629332.0	80.35	284.74	14179937.0	13643176.0	14076009.0	73527.0	6372.0	24029.0	0.36	0.02	1.7	0.02	1.48	1566107.0	7.14	13844.0	0.06	0.0	12.0	0.46	0	2631199	100863
104974-001-004_S1_L001	13860373.0	286.0	10914003.0	78.74	284.55	6765204.0	6472305.0	6713920.0	35494.0	3495.0	12295.0	0.38	0.02	1.73	0.02	1.43	799894.0	5.77	7589.0	0.05	0.0	14.76	0.67	0	2046012	92875
104974-001-005_S1_L001	20673576.0	285.0	17127474.0	82.85	283.11	12182206.0	11607791.0	12102477.0	55140.0	2293.0	22296.0	0.37	0.02	1.62	0.02	1.41	1090992.0	5.28	16755.0	0.08	0.0	11.42	0.37	0	2361833	76522
104974-001-006_S1_L001	14234338.0	284.0	10479181.0	73.62	281.82	8634517.0	8490619.0	8570721.0	45415.0	6617.0	11764.0	0.3	0.02	2.01	0.01	1.9	1279628.0	8.99	11906.0	0.08	0.0	16.63	0.68	0	2366843	96780
104974-001-007_S1_L001	63353720.0	285.0	40815204.0	64.42	285.4	14809131.0	14385744.0	14659781.0	105907.0	13973.0	29470.0	0.39	0.02	2.18	0.01	1.82	16502350.0	26.05	32496.0	0.05	0.0	9.15	0.33	0	5794681	208989
104974-001-008_S1_L001	41158601.0	283.0	23475952.0	57.04	284.07	9687345.0	9388912.0	9594412.0	64897.0	8780.0	19256.0	0.37	0.02	2.19	0.01	1.81	14093579.0	34.24	18681.0	0.05	0.0	8.34	0.33	0	3434492	135897
104974-001-009_S1_L001	53537181.0	277.0	20250706.0	37.83	281.68	7989317.0	7604551.0	7911206.0	50997.0	5995.0	21119.0	0.33	0.02	1.99	0.01	1.61	28780892.0	53.76	10232.0	0.02	0.0	8.2	0.2	0	4388319	107032
104974-001-010_S1_L001	54873015.0	281.0	21286440.0	38.79	285.33	6846424.0	6538920.0	6786850.0	39318.0	4882.0	15374.0	0.33	0.02	1.83	0.01	1.48	30055683.0	54.77	8037.0	0.01	0.0	6.27	0.15	0	3440545	82310
104974-001-011_S1_L001	45883750.0	280.0	17445514.0	38.02	282.63	7750978.0	7370570.0	7676730.0	47598.0	5502.0	21148.0	0.33	0.01	1.91	0.01	1.49	24983016.0	54.45	9928.0	0.02	0.0	7.36	0.15	0	3376478	68814
104974-001-012_S1_L001	44666116.0	269.0	27088038.0	60.65	261.95	23452315.0	23147445.0	23257769.0	75127.0	9348.0	110071.0	0.25	0.01	1.59	0.0	1.88	13995468.0	31.33	4324.0	0.01	0.0	8.0	0.02	0	3569363	8923
104974-001-013_S1_L001	69329114.0	254.0	40513684.0	58.44	243.96	31668448.0	31040780.0	31232321.0	93778.0	12619.0	329730.0	0.26	0.01	1.73	0.0	2.09	22534303.0	32.5	5641.0	0.01	0.0	9.04	0.01	0	6268552	6934
104974-001-014_S1_L001	51527402.0	262.0	28507742.0	55.33	254.87	23035743.0	22597173.0	22718104.0	26127.0	3252.0	288260.0	0.25	0.0	1.92	0.0	2.23	20336039.0	39.47	1262.0	0.0	0.0	5.19	0.01	0	2677201	5158
104974-001-015_S1_L001	82121724.0	263.0	44259846.0	53.9	255.75	33293977.0	32573277.0	32828607.0	55296.0	6297.0	403777.0	0.27	0.0	1.8	0.0	1.74	33601938.0	40.92	3916.0	0.0	0.0	5.17	0.01	0	4247808	8216
104974-001-016_S1_L001	101057745.0	259.0	54573083.0	54.0	250.76	42627672.0	41729259.0	41952973.0	39406.0	5478.0	629815.0	0.28	0.0	2.08	0.0	2.57	41092696.0	40.66	1460.0	0.0	0.0	5.32	0.01	0	5380392	10114
