Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
104974-001-001_S1_L001	38229.21219879837	49026.44654228513	57697.767900189545	67874.10575772494	76768.17293804282	84297.54191043298	91346.54578512773	97417.36497663977	101778.18708549444	106511.10643525535	110802.55610376682	114955.95588752843	117169.31358013472	119073.64474025935	121215.2755431939	122753.81679329165	124208.1598687335	126921.65296512365	129310.99552275368	131084.5514449363	132582.8250758156	134284.3274068522	135302.7629679045	136897.05128197995	139412.98108506022	142506.3795676302	143433.72881653495	143751.98047425543	143730.26433925825	143840.30712540462	144489.16537019867	144161.0518035831	144180.60370666476	144106.8788186363	143165.30764407755	142217.45597740306	142597.0986488593	141532.69888825633	141311.3119897206	140721.6060051525	140671.9951032714	140606.05619921105	140748.17646194046	140638.28139100442	140696.08548391488	140314.39876832804	140003.52403770215	139890.2860954356	140658.6772403713	140395.59146614833	139783.00993816898	139890.25272488198	139711.1682845485	140327.01405710686	140120.76864008504	140755.1173581394	141108.61309557213	141315.11034495794	141615.90580961382	142841.20485645655	144017.40952868588	143931.5187309599	144576.07877866089	145143.41782968526	146420.5250461727	146859.24358194612	146878.11700543214	147197.17521382825	146422.09313047846	145786.77345914493	145394.89189424363	144243.14255947457	143544.47777310334	143174.7705684662	143113.1920484779	143019.61362508772	142786.0142530953	142533.55311956813	142437.7728165862	142353.50762756483	141548.0851491396	141430.46956875967	140807.18212472537	140286.8668647502	139368.49309789293	136947.041217693	134350.22325408747	133092.78762182564	130354.33399987966	126469.618123808	120405.86571794885	116115.78846155053	110743.13132813027	104532.25281172642	96559.28142218494	86577.91182213814	73798.4147644057	55691.2781309599	32529.262681382024	9656.805548087803
104974-001-002_S1_L001	62578.45705465449	79791.92224466083	93315.06497455343	109928.20117247447	123668.59132578108	136030.22113271267	147339.93490707892	156964.28471631807	163655.9567597635	170730.90716172563	177428.3252582407	183283.8846131318	186483.21973231973	189358.66874397435	192629.17855512945	194695.78113000523	196552.30401361358	200175.33252509063	203583.96200510734	206134.24110589596	207850.654300391	209895.84354932109	211224.3967318813	213526.45106957256	217349.05726717217	221992.14257266666	222583.00953246877	222473.1920691309	221909.01985586094	221458.64036814074	221613.39372670345	220434.34184094015	219789.2974576237	219266.76129315398	217318.62905532224	215420.45414419056	215448.25248009793	213404.10514059645	212373.21954584666	210734.47415562425	210127.54460186552	209576.95705136837	209198.73382998203	208340.38067317606	207908.5133681165	206591.07104787265	205543.2100622102	204668.6820881349	205296.82893115634	204840.30611733522	203798.42501328635	203537.13009807386	202360.43128934415	202319.31424772597	201370.71923587844	201515.63195348257	201244.57651453515	200565.9221975005	200453.5219802503	201831.40629884365	202750.03156855822	202323.07122425197	203064.20971480283	203408.30966236137	204779.9665912634	204976.47392305062	204535.32654400254	204685.91090899252	203296.05545756876	202004.87087012077	200946.4508968459	199249.80396157838	198112.28208099975	197297.4792990729	196843.5127777851	196044.9578232513	195601.6856220962	195221.05895258137	194617.36083796984	193983.69003682336	192257.50569583097	191793.54617892703	190646.46209984997	189368.7671840375	187193.50393042687	183414.5221476406	179905.93506657364	178466.90569495969	174492.6701967504	168312.6097150129	158660.28157505344	152572.84029389895	145562.25035943	137489.39769911917	126929.05808793781	113829.11741960965	97231.49744132874	73718.68695114135	43758.86641181746	13301.235702697048
104974-001-003_S1_L001	27368.23783989849	38423.70762243469	47159.79285531842	57099.9611511351	64326.07856412309	70406.21219605656	74998.84595952246	79797.0625822065	82558.36233994913	86277.29655722146	89553.33354198658	91677.28443410849	93545.12784622825	94305.57123950668	94185.01127274816	93346.30133136365	93091.30425910697	93505.2872733398	93609.21264807702	94090.68537828425	94518.23891074817	95156.81041881752	96362.31628605997	98431.93294423095	99413.23899362885	99189.6795865373	98148.66172170662	97559.24518444948	97040.49722543286	96792.05689117087	96644.63149318373	95887.24687474045	95378.37169327469	95875.02410926222	95083.13422712134	94200.37993441703	94497.20634318127	94012.113998923	93654.02820699755	92637.93330793921	91782.55149671866	91527.88880854064	91127.40404293269	89755.76709310153	88999.22532643052	88264.41415855128	87875.36800521593	86004.66538263051	85871.13146006149	86549.51269551329	86194.94291048788	86165.5505612303	84952.39579834926	84093.1135368226	83455.4007654022	82940.78074253417	82335.11958253344	81599.22266137488	81104.09071562464	82296.5225289638	81762.43751581204	80741.5634506031	80890.79022985938	81219.03506200905	81791.58172777388	81918.79465548568	81600.30275411169	81531.0780770811	80178.4506799576	79524.58999668038	78825.37517842266	78316.93843737125	78172.51543074497	77887.34419896177	77622.73163564087	75897.75643016628	75679.6295932179	75282.98453975146	75225.60451925272	74895.22584020786	73396.60252245856	73719.81281979247	72516.3435591657	71215.05306166338	69574.17214679599	66895.29024902836	64514.82272259204	62543.10139074682	59611.88078220682	56236.66503953976	52155.21093128558	48733.7080308496	45327.298784617255	42326.875910061535	38189.57122490186	33411.0601937408	28172.31016976703	21072.353968945798	12447.297909003752	3915.4420548004
104974-001-004_S1_L001	12967.609434101054	17685.085998866685	21481.833854290744	25359.636831652308	28526.14570161544	31068.309166341947	33265.18107395524	35585.58561373285	37166.37657702356	38884.92531978177	40253.676742815805	41291.69197718487	42181.18805346087	42774.228408708215	43000.36041106613	42959.93054920333	43000.00028890997	43191.70888174015	43285.918638849194	43486.532200856695	43735.60212349109	44054.58791865485	44534.44558237578	45185.29203216037	45473.46760571259	45453.35783423761	45303.536867968054	45119.682195942914	45015.70780662506	44915.187896501106	44931.17463037985	44773.816488410725	44714.71868573448	44927.90158693035	44675.511426286335	44346.58800557915	44477.82172931289	44295.09156719293	44157.20810033235	43885.05223555759	43599.80480566258	43438.84274551553	43301.5177588689	42815.46281101588	42569.72806621474	42268.19069012933	42054.936682119056	41447.88585975839	41433.47689630393	41621.42702145143	41467.31237520465	41361.26393138963	40976.21810268354	40693.53627396734	40444.03288395111	40294.80635472568	40009.569333209096	39708.8786251086	39501.139164062115	39885.037668248435	39684.04058446422	39300.87407719736	39401.71867784785	39552.12448393629	39750.54594573387	39857.40304881711	39832.98311985666	39916.470982319275	39507.29521300745	39268.00000448447	39020.491151632596	38879.19873325928	38894.102053056755	38824.14195748397	38826.56248144363	38344.986312039284	38234.72682836453	38146.167721573824	38231.44580170545	38131.091724151265	37584.335014816104	37609.73876382432	37079.062781894914	36443.89093239752	35761.674265853166	34697.32045525657	33666.27709879255	32903.35645084357	31714.49843332884	30234.57809054702	28356.644019199262	26658.96489157596	24936.369562091088	23265.122422402615	21077.441965281454	18482.839194648106	15512.767380823627	11638.593438293829	6929.245915983008	2157.857876284911
104974-001-005_S1_L001	21979.27901788947	32995.682679233854	42357.26762641484	53110.31777453971	60459.63786489814	66334.47009186316	70689.15535035012	75789.51187446216	78721.20510351409	82774.67710906311	86667.09939352369	89052.59958356187	91414.1843022422	91970.02203145	91280.3195924619	89891.04964508388	89115.38674714285	88737.95182299337	87869.68000777595	87935.90137969963	87691.72650567691	88346.40405063526	90403.48881420861	93239.56184642737	94398.73564483706	92993.94022507273	91806.06368725115	91139.70557036242	90673.29373699552	90549.44190127465	90612.28151083385	89975.49526432899	89266.75178631075	90317.3633111326	89639.8096370125	88912.91759344876	89841.32294240741	90041.32102327289	90014.19526707858	89042.29004195308	88156.44894193711	88248.9490020182	88151.29655251064	86545.90455103213	85630.83651452899	84932.75421945551	84596.66972942476	81613.4964170781	81285.06751472448	82566.02850539211	82151.4347318243	82012.60458083233	80573.78053202582	79460.80042477738	79219.45891805236	78678.90356304093	77908.07374251193	77013.78287817362	76462.84683123251	78802.22244773126	78112.28773182421	76796.11122197319	77504.52238474904	78551.41930079708	79542.11943877354	80096.37748607573	80458.26776101175	81359.88094478991	80410.569356543	80474.29213516404	80151.30594166755	80309.40053331833	81076.07185260246	81338.11261517025	81648.29063430573	79161.81040973282	79258.21450026089	79082.91598886542	79384.2508702747	79116.89338581939	76855.88396111023	77691.19498376428	76232.09383275278	74332.24299242825	71931.25308139538	67796.69851791541	64497.9459871023	61511.513881543935	57340.38343901252	53201.338503060855	49034.41716550699	44985.780627006556	40477.08363231499	36922.22047620001	31807.407950422672	26386.591778964867	20906.970640578078	14907.734566390216	8464.739197386392	2644.112686979515
104974-001-006_S1_L001	14258.554123447822	17831.522899257005	21036.803250912733	24667.192932594215	28155.402273033276	31364.26699634523	34219.03109524328	35993.56910347961	37420.62391451281	39237.31001828737	40932.20756771666	42234.17627419884	43303.15056741383	43950.94009056979	44802.53454131806	45470.07987539139	46125.98137247457	47323.79048267892	48328.58087785942	49155.48098992282	49903.17220957621	50800.779573225824	51245.40366169222	52035.179584411926	52565.56255356217	53688.309052835524	53942.99118530029	54253.01528557848	54544.15111856305	54773.05735534992	55317.20421148838	55597.96476884952	55508.6903334652	55498.22776458997	54947.8069612941	54660.58501324022	54961.11236262186	54673.51301144235	54582.85161389472	54278.627471371234	54007.73528120472	53692.94586846009	53601.27719770466	53435.632543544285	53451.83400683538	53383.44031998541	53063.24737049155	52918.14670990006	53131.56024234967	53094.99649720375	53164.91571417958	53225.67456500687	53114.55638603948	53491.86873881512	53395.666618683266	53669.996640367965	53745.97591275731	53731.621221622045	53843.17833213818	54216.75361783986	54621.09578335158	54495.15065358671	54857.6325285801	55198.760050656485	55506.43438565861	55749.94175915072	55921.54107363797	56171.81087221153	56049.41367226873	55926.74119822918	55973.531397370985	55733.740114211476	55733.33307056018	55633.653448323144	55650.432932507814	55409.87176920687	55231.74933035008	55029.075317464136	54737.19475291844	54388.55914118684	54006.961469453905	53986.13879784981	53717.590746920454	53274.92891530088	52734.70038097996	51954.96012356801	51052.498407289386	50795.833797231535	50066.239454262926	48570.856813793005	45616.242436973596	43832.13700839391	41960.526337410054	39502.096826654226	36246.04272732608	32469.062750514015	28259.824340172865	21860.747634543724	12997.630455258279	3956.8316975651587
104974-001-007_S1_L001	33683.26614429178	44121.95442499566	57613.181864655686	70810.9516460514	82842.10646505482	93177.4181216123	100757.08109129667	109343.36692737052	114463.41086873652	114782.8606015385	114288.56561519585	113629.41625180969	113576.25233365144	113920.21733636642	111577.65701442133	111912.9428208767	112050.78489853223	111708.90350496587	112669.16282034433	114302.63055447696	115160.0961698922	116344.9227090917	117010.03335992318	118083.64856342626	117418.94563448704	117077.69504478919	115881.15166825129	114732.3529746382	113183.38348511838	111877.1926449162	110394.51731914913	110637.80445414348	110377.2911147598	110276.57508673401	109214.79295642185	109226.4464674389	109582.81130950159	108537.34977707602	107667.37836254321	106530.66191973502	105345.45663739371	104550.06962325977	103710.32253942202	102408.88208279815	101609.32735726406	100708.3315659787	99590.4491699926	99279.71050739399	99235.50540744109	98804.39358711665	98511.83685113765	97959.09360023902	96676.1035323522	95940.1738117901	95096.19628139547	94861.3102354424	94459.24037421597	93531.49575518214	93006.76948746982	92848.03574615822	92710.8196441411	92242.9523939484	91992.72656811807	91846.98955070399	91739.65623312017	91463.48061484605	92568.1708706844	93522.26125719349	94191.62439720608	94577.83135030561	94872.96360108313	94844.97108866446	93801.04038568915	91414.85155077357	90796.58605063583	89710.64839059024	88805.36481487806	88122.95029348749	87363.29179996678	87081.09242867667	86444.63489815532	85956.51764779582	88640.89194890439	89003.75999074215	88475.92942829592	87864.9810338157	86445.31128838993	86752.56690856477	85691.92203020945	81285.97968953721	77733.91245557602	76098.29702297319	73368.14500463167	69457.46391958892	67015.51911782427	66545.65145272286	59077.07720644194	39974.88320273586	22994.345197424143	7274.613391156754
104974-001-008_S1_L001	22304.251389491266	29064.202748724845	39341.63162870503	49159.825122487695	58386.982940613736	66659.63238291313	72315.48895427806	79606.93367577116	83209.16870031349	82349.83927215247	80686.68462504871	79181.06778758878	78807.47639936108	78934.01620519243	76546.68706062179	76540.12314773063	76473.66871925732	76035.11307844396	76788.25082559614	78099.58895867792	78743.92516665567	79424.6187646257	79962.45050647722	80910.14326562855	80263.55249041007	80007.27382671404	79166.44672628198	78316.32426033718	77013.27827226759	76019.23302216746	74847.63285190823	75136.80304657674	75042.31005672141	75079.9324545658	74491.00840641334	74669.30238757009	75029.8061907949	74022.82676744304	73097.25782662515	72227.83993822204	71275.17130295826	70626.56790471626	70047.34760772513	69114.87255151063	68559.52627215447	67928.0764019669	67221.1976481795	66986.83319467779	66803.08976783286	66541.5926079395	66348.65064274173	65943.77249521838	64862.151963753146	64156.01955994173	63547.212047659385	63447.11397768141	63136.98204961601	62471.19317816258	62249.74851162286	62424.41593610459	62332.839810731566	61874.56612336746	61597.08918729891	61415.62433709304	61268.146953283765	60963.45894771888	61767.900749654	62597.554283705285	63142.33034606172	63554.27711645881	63945.303943325875	64037.42550184378	62982.7831258452	60752.20224576518	60161.34308787722	59215.51868089273	58609.50781197686	57941.84165566047	57119.39168760117	56856.93957319061	56497.718920217085	56079.431398767985	58549.595829972684	59024.77484530882	58750.951454259346	58432.68421332109	57304.984114385625	57465.35809159889	56366.83011012981	52498.38330048308	49723.911394608855	48738.73845764422	47157.46723931381	44820.42294546255	44211.92579704691	45395.0453860095	40298.219113894556	25460.11910415357	13748.818464180216	4363.12389661659
104974-001-009_S1_L001	16981.628340808267	21907.211903354655	37538.585678283336	53607.99671602687	68676.65847768163	81198.29546179491	87476.50767767	101532.04071831597	108717.60538233846	104818.4499523026	99920.01894239591	94381.24086878616	92314.88061408148	90796.06395961595	81570.84963078283	80855.65182960691	79581.38597569159	77034.33056133032	78088.39549547427	80515.80435113823	81701.7627813424	82723.41290701275	84024.02774745984	86364.84769251727	84391.04261627236	82303.27396977665	80569.27309820794	78387.43295467747	75290.56891606467	72549.4620287259	69044.04439529688	69673.9455629427	69843.70709829677	70859.06408136273	70500.0627773451	70152.9438222079	69865.55390801979	67969.97472333918	65993.86018077619	64987.81986849592	63739.61667680704	62906.4710117995	62194.6806954994	61093.36662424433	60288.22328842953	59508.314586618544	59021.23959067148	58833.46870266658	58844.989567777106	59155.66473543712	59154.03790989043	58549.678345689885	56343.310710455175	54612.546963215565	53401.475628873224	52878.606674146955	52172.454786563285	51048.45164001189	50829.0913137031	51773.74670246789	51498.039946848665	50634.619976820526	49886.41896187833	49923.620131652555	49503.10186479611	48505.796302882394	50874.886793509126	53161.9356835496	54930.19783779248	56652.04968623666	58235.564246850656	60126.46864675815	60389.35209779066	56038.60282467893	54607.52529722112	51991.056427925476	50562.04377305976	48972.39688864805	47358.05403275384	47945.1702093794	48881.97737864666	49002.69561972051	57658.38295077837	60118.30968287276	60222.46471246597	60214.70957632056	58755.11483963062	59570.409549622396	57690.748447809994	48401.478282538104	45675.31170003382	46121.2312126469	44442.070216392625	41542.49956277778	42140.80374916994	43226.62622151688	39222.7458923893	20751.101394433208	8696.472731569134	3036.344977741851
104974-001-010_S1_L001	16428.92412241739	20921.77232876651	35242.699255870306	49904.85740582294	63229.94210374245	73247.55006667144	76937.5813564105	87979.52195351015	93055.30226629623	88065.10045801224	85457.40733596863	81610.3940214427	79155.9668058818	77010.78820277457	67398.69066696221	66536.18339427456	65243.87123245057	62452.123659396326	63474.495673770194	65862.04642875175	67513.6709250317	69371.86658719135	71126.25920070012	74758.66252649235	73249.67011329578	71382.70530795555	69427.9387575371	67047.85393603993	64086.97627270758	60928.64643765273	56782.05705217577	57488.73944657568	57312.93887205761	58046.6141563843	57834.347692944284	57578.69335476218	57327.09324455355	55800.257325973645	54025.87135638988	53284.99203086771	52372.74083865396	51508.19204132604	50741.09994457823	50018.35095270461	49612.376667603145	49048.33053020336	48557.60113383831	48167.828473170135	47928.25432041872	48048.17421948355	48091.91100723088	47743.068143409175	46383.63211732808	45181.91076581625	44454.7525142208	44208.24103044196	43698.72438288076	42914.60085129633	42927.91560339298	43923.45633673325	43897.834196910684	43383.47648251599	42905.70218821078	42723.19432934465	42292.13853144715	41317.273994354655	44692.923281662275	47545.048894086096	49590.86210409015	51812.97991265835	53660.37678491794	55854.49189891059	56624.76870814545	51829.15840519563	50309.514191987764	47833.32339315885	46249.296264802324	44595.791529385155	42963.92265231072	43987.215572474175	45318.35274893648	45819.44390374964	54800.80254183507	57288.46284488854	57756.93676672386	58428.28298858314	57204.888094417554	59243.46123921034	58022.710228176766	49345.5637881975	47629.0885250652	48757.93093672799	46632.18425975285	42719.76426337301	42183.10136084579	42867.19775075174	37912.92065156316	21117.081349741373	8846.806755862945	2995.404960918051
