Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
104974-001-001_S1_L001	104974-001-001_S1_L001.markdup.sorted.bam	27137556.0	68292370.0	19861475.0	34947346.0	402003.0	0.0	1.27	34947346.0	9843178.0	3234794.0	4337085.0
104974-001-002_S1_L001	104974-001-002_S1_L001.markdup.sorted.bam	40594680.0	102654081.0	30265340.0	51529808.0	565896.0	0.0	1.41	51529808.0	14764636.0	5523718.0	6827332.0
104974-001-003_S1_L001	104974-001-003_S1_L001.markdup.sorted.bam	19034200.0	45790472.0	10669910.0	20231480.0	125295.0	0.0	1.29	20231480.0	7502514.0	7256447.0	4306224.0
104974-001-004_S1_L001	104974-001-004_S1_L001.markdup.sorted.bam	11618191.0	27153493.0	5406012.0	12068644.0	67855.0	0.0	1.17	12068644.0	4180428.0	5425585.0	2590937.0
104974-001-005_S1_L001	104974-001-005_S1_L001.markdup.sorted.bam	18104711.0	42341525.0	8183241.0	18885167.0	54617.0	0.0	1.1	18885167.0	5764235.0	9449223.0	4435038.0
104974-001-006_S1_L001	104974-001-006_S1_L001.markdup.sorted.bam	11680489.0	28777871.0	7867890.0	13774117.0	156881.0	0.0	1.64	13774117.0	4662633.0	2292930.0	1559698.0
104974-001-007_S1_L001	104974-001-007_S1_L001.markdup.sorted.bam	56994704.0	172782330.0	91309712.0	33137130.0	1351267.0	0.0	1.49	33137130.0	38655466.0	8239795.0	4564672.0
104974-001-008_S1_L001	104974-001-008_S1_L001.markdup.sorted.bam	37417548.0	119189709.0	72293589.0	22490062.0	1214559.0	0.0	1.46	22490062.0	17905841.0	5226749.0	2768059.0
104974-001-009_S1_L001	104974-001-009_S1_L001.markdup.sorted.bam	48762082.0	168400340.0	127993492.0	26533304.0	1730316.0	0.0	1.37	26533304.0	7140362.0	4976636.0	2391433.0
104974-001-010_S1_L001	104974-001-010_S1_L001.markdup.sorted.bam	51049960.0	173064124.0	130600238.0	28525736.0	1216589.0	0.0	1.18	28525736.0	6712903.0	5986138.0	2443468.0
104974-001-011_S1_L001	104974-001-011_S1_L001.markdup.sorted.bam	42211937.0	144076318.0	109259720.0	24979859.0	1745806.0	0.0	1.31	24979859.0	3779088.0	4294418.0	2276220.0
104974-001-012_S1_L001	104974-001-012_S1_L001.markdup.sorted.bam	41071055.0	167433403.0	113262901.0	34589774.0	262676.0	0.0	1.22	34589774.0	17707593.0	1609699.0	8383849.0
104974-001-013_S1_L001	104974-001-013_S1_L001.markdup.sorted.bam	63032504.0	242128284.0	161107710.0	53685405.0	306803.0	0.0	1.28	53685405.0	24326769.0	2699602.0	11588868.0
104974-001-014_S1_L001	104974-001-014_S1_L001.markdup.sorted.bam	48834199.0	201432223.0	144420578.0	37013404.0	59062.0	0.0	1.15	37013404.0	18157306.0	1781633.0	9020622.0
104974-001-015_S1_L001	104974-001-015_S1_L001.markdup.sorted.bam	77840571.0	337821718.0	249309630.0	56682167.0	137818.0	0.0	1.12	56682167.0	26400479.0	5290660.0	13342951.0
104974-001-016_S1_L001	104974-001-016_S1_L001.markdup.sorted.bam	95646147.0	409989953.0	300851195.0	72227578.0	79220.0	0.0	1.03	72227578.0	33362413.0	3468837.0	16856037.0
