gene_id,PC1,PC2,gene_name,gene_biotype,species,gene_type
gene-PKNH_0321000,0.1185650844713006,0.09068652560618454,gene-PKNH_0321000,rRNA,pk,pk_rRNA
gene-RPPH1-2,0.12280730893231394,0.0869583569832891,RPPH1,NA,human,human
gene-RMRP,0.087688844464742,0.10508537346795106,RMRP,NA,human,human
gene-TUBB-6,-0.06238712913749255,0.004047530920161313,TUBB,NA,human,human
gene-PKNH_0935200,0.10571190157940968,0.06579536693225276,gene-PKNH_0935200,snRNA,pk,pk
gene-C4B,0.010054608384421987,-0.056984340859603314,C4B,NA,human,human
gene-RN7SK,0.09078424892189897,0.09504177376722496,RN7SK,NA,human,human
gene-TSEN34-3,-0.006547606694473239,0.09069517594776183,TSEN34,NA,human,human
gene-LTB-5,-0.09570901635883623,0.054733077397455115,LTB,NA,human,human
gene-NEIL3,0.09618987698593207,0.0671075176899965,NEIL3,NA,human,human
gene-HLA-DPA1-6,-0.0557533589615777,0.055382902439665156,HLA-DPA1,NA,human,human
gene-LTB-3,-0.09019588048788393,0.02991484826573594,LTB,NA,human,human
gene-PBX2-3,-0.02470465449951616,-0.009907195939460538,PBX2,NA,human,human
gene-RGL2-5,-0.0432783614582418,0.03718983504669844,RGL2,NA,human,human
gene-SCARNA2,0.07404655830673432,0.10436507513829185,SCARNA2,NA,human,human
gene-HLA-DMA-2,-0.014877814498181744,0.0779542583291799,HLA-DMA,NA,human,human
gene-RPPH1,0.09339996426075878,0.06347443463360744,RPPH1,NA,human,human
gene-TSEN34-5,-0.05471807850763576,0.010903617395088229,TSEN34,NA,human,human
gene-HBG2,-0.03378236774254762,-0.06903392217855502,HBG2,NA,human,human_globin
gene-PSMB8-AS1-5,-0.029815386685432158,0.07035264505371379,PSMB8-AS1,NA,human,human
gene-FLOT1-4,-0.06649906165541611,0.07180940316446657,FLOT1,NA,human,human
gene-RNF5,0.036406924907390725,-0.0031592545930686005,RNF5,NA,human,human
gene-LTB-7,-0.05833542506884181,0.054043936336374304,LTB,NA,human,human
gene-RNA5-8SN4,-0.035722021146606595,-0.05973532359804975,RNA5-8SN4,NA,human,human_rRNA
gene-LST1-2,-0.04880023626610505,-0.004393881369471624,LST1,NA,human,human
gene-HLA-DMA-8,-0.0413105277847411,0.022084393158664273,HLA-DMA,NA,human,human
gene-PSMB8-6,-0.08572198005801568,0.03341605195252414,PSMB8,NA,human,human
gene-RNF5-2,-0.022229270197755027,0.024915220830992648,RNF5,NA,human,human
gene-TAP1-2,-0.05824107845311953,0.09590555593817507,TAP1,NA,human,human
gene-LILRA5-4,-0.023189285056975744,0.03806622370728014,LILRA5,NA,human,human
gene-CLIC1-6,-0.07203458423994698,0.05395375706701811,CLIC1,NA,human,human
gene-LST1-8,-0.04416643977317172,0.0051509572492982655,LST1,NA,human,human
gene-TUBB-2,-2.4621209364527604e-4,0.08450204251009677,TUBB,NA,human,human
gene-FLOT1-3,-0.07759203943921145,0.04530598761463646,FLOT1,NA,human,human
gene-KIF15-2,0.09135338570523514,0.051655761475298004,KIF15,NA,human,human
gene-CLIC1-4,-0.05522499106591292,0.08273553594007081,CLIC1,NA,human,human
gene-LTB-6,-0.053327464609266025,0.07490199694293624,LTB,NA,human,human
gene-LOC124904613,0.026489669303755813,0.08528011591569114,LOC124904613,NA,human,human
gene-I6V24_pgp12,0.08833640525802236,0.06819264777992216,gene-I6V24_pgp12,protein_coding,pk,pk
gene-SKA3,0.08569152559092401,0.058224182049829765,SKA3,NA,human,human
gene-CCL3L3,-0.019380607849683797,0.06982231223834637,CCL3L3,NA,human,human
gene-LST1,-0.0492323297347398,0.004219794738787948,LST1,NA,human,human
gene-RNF5-4,0.017747849220582465,0.022049010136709363,RNF5,NA,human,human
gene-LOC124903450,0.059410918497344464,0.04699186781443029,LOC124903450,NA,human,human
gene-GATAD2B-2,-0.05583180166565363,0.06763245979036994,GATAD2B,NA,human,human
gene-RNA45SN3,0.055511419674575596,0.08760568371010437,RNA45SN3,NA,human,human_rRNA
gene-AIF1-2,-0.07553750164028009,0.06954082240827163,AIF1,NA,human,human
gene-TRIM27-6,-0.05752846465921509,0.0482113997134132,TRIM27,NA,human,human
gene-H1-3,0.07750831000639383,0.08614761851217911,H1-3,NA,human,human
gene-RNA28SN1-2,0.07189587059421967,0.05606886432895457,RNA28SN1,NA,human,human_rRNA
gene-ANKRD36BP2,0.0854685820721136,0.05643807471940505,ANKRD36BP2,NA,human,human
gene-RNA28SN1,0.07197404984488079,0.05426121599001068,RNA28SN1,NA,human,human_rRNA
gene-LY6G5B-3,-0.031823713084904066,0.06309132831176603,LY6G5B,NA,human,human
gene-SURF1,-0.07335915872363115,0.04385020859175628,SURF1,NA,human,human
gene-TAP1-6,-0.06908270909276842,0.0769419608371025,TAP1,NA,human,human
gene-ZBTB4,0.007582290669055135,0.08833724024281309,ZBTB4,NA,human,human
gene-TUBB-4,0.04171848597577345,-0.021732164103034867,TUBB,NA,human,human
gene-TLCD4-RWDD3,0.09312246895763732,0.039642006111290894,TLCD4-RWDD3,NA,human,human
gene-TAP1,-0.06657034837884553,0.04892076886287839,TAP1,NA,human,human
gene-SNHG32-5,0.06322746286025005,-0.021340899930569666,SNHG32,NA,human,human
gene-RNA45SN5,0.07444369357843458,0.065879341773576,RNA45SN5,NA,human,human_rRNA
gene-CLIC1-3,-0.05982403865634352,0.060880934454242704,CLIC1,NA,human,human
gene-CLIC1-5,-0.0627797996638972,0.03995695723121174,CLIC1,NA,human,human
