sample_name,gene_type,sum_reads,per
Sample 01 - mRNA Qiagen FS globin - no filter,human,21137643,92.4667908122906
Sample 01 - mRNA Qiagen FS globin - no filter,human_globin,64836,0.2836256080730322
Sample 01 - mRNA Qiagen FS globin - no filter,human_rRNA,1140408,4.988724049160197
Sample 01 - mRNA Qiagen FS globin - no filter,pk,510676,2.233956305575665
Sample 01 - mRNA Qiagen FS globin - no filter,pk_rRNA,6150,0.026903224900505094
Sample 02 - mRNA Qiagen FS globin - cent/pip,human,30674427,90.46970091736074
Sample 02 - mRNA Qiagen FS globin - cent/pip,human_globin,137238,0.4047632516329238
Sample 02 - mRNA Qiagen FS globin - cent/pip,human_rRNA,1871452,5.519571815349528
Sample 02 - mRNA Qiagen FS globin - cent/pip,pk,1200906,3.541895229203923
Sample 02 - mRNA Qiagen FS globin - cent/pip,pk_rRNA,21723,0.06406878645289209
Sample 03 - mRNA Qiagen FS globin - plasmodipur,human,9153707,70.94022207619707
Sample 03 - mRNA Qiagen FS globin - plasmodipur,human_globin,421942,3.270004074117158
Sample 03 - mRNA Qiagen FS globin - plasmodipur,human_rRNA,530157,4.10865841732212
Sample 03 - mRNA Qiagen FS globin - plasmodipur,pk,2753276,21.33758605962192
Sample 03 - mRNA Qiagen FS globin - plasmodipur,pk_rRNA,44327,0.3435293727417305
Sample 04 - mRNA Qiagen FS globin - PMACS,human,4503548,60.594972103871065
Sample 04 - mRNA Qiagen FS globin - PMACS,human_globin,200335,2.695495581801062
Sample 04 - mRNA Qiagen FS globin - PMACS,human_rRNA,154283,2.0758686442559378
Sample 04 - mRNA Qiagen FS globin - PMACS,pk,2552308,34.34115325527494
Sample 04 - mRNA Qiagen FS globin - PMACS,pk_rRNA,21740,0.2925104147969905
Sample 05 - mRNA Qiagen FS globin - cellulose,human,6279985,54.867616705796344
Sample 05 - mRNA Qiagen FS globin - cellulose,human_globin,457465,3.9968271064846688
Sample 05 - mRNA Qiagen FS globin - cellulose,human_rRNA,657001,5.7401536856099025
Sample 05 - mRNA Qiagen FS globin - cellulose,pk,4003844,34.98119469103867
Sample 05 - mRNA Qiagen FS globin - cellulose,pk_rRNA,47409,0.4142078110704243
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,human,8638792,97.20571019375897
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,human_globin,13824,0.15555088462814293
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,human_rRNA,1991,0.022403198154993673
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,pk,230865,2.5977470326733374
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,pk_rRNA,1652,0.018588690784555273
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,human,17031081,49.973667925367614
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,human_globin,19276,0.0565608503024198
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,human_rRNA,2709753,7.951127505163569
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,pk,570809,1.6749036314730206
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,pk_rRNA,13749191,40.34374008769338
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,human,10948424,41.289522778277515
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,human_globin,16870,0.06362141704317824
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,human_rRNA,1913516,7.216395936857987
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,pk,505981,1.9081937295153746
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,pk_rRNA,13131437,49.522266138305945
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,human,7431511,17.043785618827485
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,human_globin,89557,0.20539434156328815
