gene_id,gene_name,gene_biotype,species,gene_type,sample,counts
gene-PKNH_0418600,gene-PKNH_0418600,protein_coding,pk,pk,104974-001-001_S1_L001,599.289582
gene-PKNH_1355500,gene-PKNH_1355500,protein_coding,pk,pk,104974-001-001_S1_L001,482.346741
gene-PKNH_0701600,gene-PKNH_0701600,protein_coding,pk,pk,104974-001-001_S1_L001,224.569553
gene-PKNH_1016300,gene-PKNH_1016300,protein_coding,pk,pk,104974-001-001_S1_L001,222.887009
gene-PKNH_1320900,gene-PKNH_1320900,protein_coding,pk,pk,104974-001-001_S1_L001,207.706501
gene-PKNH_0622500,gene-PKNH_0622500,protein_coding,pk,pk,104974-001-001_S1_L001,206.527752
gene-PKNH_0515700,gene-PKNH_0515700,protein_coding,pk,pk,104974-001-001_S1_L001,195.081633
gene-PKNH_0802300,gene-PKNH_0802300,protein_coding,pk,pk,104974-001-001_S1_L001,194.959588
gene-PKNH_0818800,gene-PKNH_0818800,protein_coding,pk,pk,104974-001-001_S1_L001,178.549033
gene-PKNH_1349800,gene-PKNH_1349800,protein_coding,pk,pk,104974-001-001_S1_L001,170.566243
gene-PKNH_1336700,gene-PKNH_1336700,protein_coding,pk,pk,104974-001-001_S1_L001,160.968927
gene-PKNH_0835700,gene-PKNH_0835700,protein_coding,pk,pk,104974-001-001_S1_L001,157.759389
gene-PKNH_0829400,gene-PKNH_0829400,protein_coding,pk,pk,104974-001-001_S1_L001,155.529036
gene-PKNH_1112500,gene-PKNH_1112500,protein_coding,pk,pk,104974-001-001_S1_L001,149.919177
gene-PKNH_0507500,gene-PKNH_0507500,protein_coding,pk,pk,104974-001-001_S1_L001,145.548313
gene-PKNH_1029800,gene-PKNH_1029800,protein_coding,pk,pk,104974-001-001_S1_L001,144.482026
gene-PKNH_1100700,gene-PKNH_1100700,protein_coding,pk,pk,104974-001-001_S1_L001,142.404783
gene-PKNH_0940400,gene-PKNH_0940400,protein_coding,pk,pk,104974-001-001_S1_L001,141.935969
gene-PKNH_1426400,gene-PKNH_1426400,protein_coding,pk,pk,104974-001-001_S1_L001,137.463575
gene-PKNH_1135500,gene-PKNH_1135500,protein_coding,pk,pk,104974-001-001_S1_L001,137.435997
gene-PKNH_0418600,gene-PKNH_0418600,protein_coding,pk,pk,104974-001-002_S1_L001,977.689498
gene-PKNH_1355500,gene-PKNH_1355500,protein_coding,pk,pk,104974-001-002_S1_L001,812.490831
gene-PKNH_0701600,gene-PKNH_0701600,protein_coding,pk,pk,104974-001-002_S1_L001,387.506603
